year,group,ep,se,n
2006,mex_fb,0.8648600336442751,0.0022490807540830396,33407
2006,mex_nb,0.7066536064835204,0.004462647860555052,15463
2006,oth_nb,0.6957315341361963,0.0010736155482185658,289987
2006,oth_fb,0.7976071412364919,0.00283665003354717,28575
2010,mex_fb,0.8325296776593976,0.0024492181118266677,32878
2010,mex_nb,0.6743426208997653,0.004343554660436796,16728
2010,oth_nb,0.6481605449910676,0.0011691284758601585,260848
2010,oth_fb,0.7665482349290597,0.0028321823950154725,31113
2019,mex_fb,0.8937402600498946,0.002486301432756624,24529
2019,mex_nb,0.7784261086525174,0.003684165820754294,20963
2019,oth_nb,0.7128293286605897,0.0012695312665664544,240998
2019,oth_fb,0.8442226929224459,0.0027138034290301537,29684
2021,mex_fb,0.8628039875375928,0.0026105989580894095,26612
2021,mex_nb,0.7386650926742875,0.0036999908079478664,23137
2021,oth_nb,0.6884692338762542,0.0012946364936655352,232909
2021,oth_fb,0.7952523884307129,0.002811595071836265,32603
2024,mex_fb,0.8745124583756103,0.002595771448190744,25689
2024,mex_nb,0.7768204207069785,0.0034011022440918106,25358
2024,oth_nb,0.7248117946395035,0.001280503981478247,235526
2024,oth_fb,0.8288615578783078,0.002615624958106552,34453
