industry_code,annual_avg_emplvl,year
11,1167004.0,2006
21,617048.0,2006
22,803859.0,2006
23,7793430.0,2006
31-33,14153115.0,2006
42,5885436.0,2006
44-45,15435110.0,2006
48-49,5302583.0,2006
51,3185907.0,2006
52,6037467.0,2006
53,2203542.0,2006
54,7502331.0,2006
55,1785257.0,2006
56,8376060.0,2006
61,11734366.0,2006
62,16480734.0,2006
71,2286930.0,2006
72,11189512.0,2006
81,4420427.0,2006
92,7228408.0,2006
99,245310.0,2006
11,1154071.0,2010
21,651918.0,2010
22,807673.0,2010
23,5672913.0,2010
31-33,11532213.0,2010
42,5466844.0,2010
44-45,14549251.0,2010
48-49,4935603.0,2010
51,2848734.0,2010
52,5520206.0,2010
53,1961617.0,2010
54,7567186.0,2010
55,1854778.0,2010
56,7482610.0,2010
61,12144279.0,2010
62,18077213.0,2010
71,2300728.0,2010
72,11183469.0,2010
81,4406249.0,2010
92,7545067.0,2010
99,152870.0,2010
11,1196574.0,2012
21,798444.0,2012
22,803992.0,2012
23,5763476.0,2012
31-33,11950963.0,2012
42,5657062.0,2012
44-45,14931239.0,2012
48-49,5103954.0,2012
51,2818445.0,2012
52,5597057.0,2012
53,1988864.0,2012
54,8005877.0,2012
55,2003075.0,2012
56,8070246.0,2012
61,12083991.0,2012
62,18672558.0,2012
71,2366971.0,2012
72,11847947.0,2012
81,4587757.0,2012
92,7270858.0,2012
99,172213.0,2012
11,1265973.0,2016
21,613632.0,2016
22,809818.0,2016
23,6865799.0,2016
31-33,12345962.0,2016
42,5859976.0,2016
44-45,15886000.0,2016
48-49,5723644.0,2016
51,2940560.0,2016
52,5860656.0,2016
53,2170326.0,2016
54,8946511.0,2016
55,2230131.0,2016
56,9041922.0,2016
61,12420735.0,2016
62,20838100.0,2016
71,2627555.0,2016
72,13411036.0,2016
81,4427049.0,2016
92,7307817.0,2016
99,272092.0,2016
11,1269999.0,2019
21,675367.0,2019
22,811369.0,2019
23,7630792.0,2019
31-33,12828342.0,2019
42,5884280.0,2019
44-45,15663553.0,2019
48-49,6451251.0,2019
51,2994209.0,2019
52,6061706.0,2019
53,2327716.0,2019
54,9652432.0,2019
55,2407183.0,2019
56,9369123.0,2019
61,12754269.0,2019
62,22182991.0,2019
71,2788265.0,2019
72,14149897.0,2019
81,4594064.0,2019
92,7477345.0,2019
99,130944.0,2019
11,1247796.0,2020
21,540591.0,2020
22,804872.0,2020
23,7380421.0,2020
31-33,12136380.0,2020
42,5620782.0,2020
44-45,14818498.0,2020
48-49,6498364.0,2020
51,2844966.0,2020
52,6079981.0,2020
53,2194966.0,2020
54,9569702.0,2020
55,2318008.0,2020
56,8628861.0,2020
61,12083284.0,2020
62,21544346.0,2020
71,2019105.0,2020
72,11170329.0,2020
81,3984430.0,2020
92,7480297.0,2020
99,137797.0,2020
11,1254606.0,2021
21,513211.0,2021
22,803756.0,2021
23,7595315.0,2021
31-33,12355019.0,2021
42,5697118.0,2021
44-45,15401163.0,2021
48-49,6905601.0,2021
51,2969258.0,2021
52,6182352.0,2021
53,2255208.0,2021
54,10013028.0,2021
55,2343063.0,2021
56,9139277.0,2021
61,12179271.0,2021
62,21850649.0,2021
71,2280296.0,2021
72,12253769.0,2021
81,4189074.0,2021
92,7405056.0,2021
99,193981.0,2021
11,1262170.0,2022
21,555956.0,2022
22,810850.0,2022
23,7889156.0,2022
31-33,12809405.0,2022
42,5977132.0,2022
44-45,15537613.0,2022
48-49,7360629.0,2022
51,3182631.0,2022
52,6292480.0,2022
53,2379748.0,2022
54,10654099.0,2022
55,2503466.0,2022
56,9619981.0,2022
61,12564903.0,2022
62,22317076.0,2022
71,2616288.0,2022
72,13512345.0,2022
81,4441275.0,2022
92,7413015.0,2022
99,295426.0,2022
11,1256974.0,2023
21,584283.0,2023
22,838152.0,2023
23,8127255.0,2023
31-33,12917827.0,2023
42,6102049.0,2023
44-45,15588448.0,2023
48-49,7397739.0,2023
51,3114512.0,2023
52,6327141.0,2023
53,2425085.0,2023
54,10853233.0,2023
55,2550472.0,2023
56,9431268.0,2023
61,12935408.0,2023
62,23294478.0,2023
71,2818749.0,2023
72,14076537.0,2023
81,4608521.0,2023
92,7591520.0,2023
99,276299.0,2023
