lambda,k,cost,gain_bn,gain_bn_fine_grid,printed_gain_bn,sigma1,sigma_lambda,printed_sigma1,printed_sigma_lambda
0.45,1.0,low,2.6724366741975,2.6502593573399995,2.7,0.0,0.3,0.0,0.3
0.45,1.0,medium,3.514748311993125,3.49751098983,3.5,0.0,0.2,0.0,0.2
0.45,1.0,high,4.598251314556875,4.539676591696875,4.6,0.0,0.1,0.0,0.1
0.45,1.0,prohibitive,10.298703017675624,10.298703017675624,10.3,0.0,0.0,,
0.4,0.5,low,4.7000481842175,4.638609889543125,4.7,0.6,0.3,0.6,0.3
0.4,0.5,medium,6.0489131035125,6.032228354778749,6.1,0.4,0.2,0.4,0.2
0.4,0.5,high,7.921659612976875,7.6452852933937505,7.9,0.3,0.1,0.3,0.1
0.4,0.5,prohibitive,13.179249204755624,13.179249204755624,13.2,0.0,0.0,,
0.3,0.25,low,6.9102709182524995,6.99072857899125,6.9,0.5,0.3,0.4,0.3
0.3,0.25,medium,9.029920347200624,9.05953678030125,9.0,0.3,0.2,0.3,0.2
0.3,0.25,high,13.45395537188625,11.416140278574375,12.4,0.2,0.1,0.2,0.1
0.3,0.25,prohibitive,22.003674074238752,22.003674074238752,22.0,0.0,0.0,,
