st,native_lowed_log_wage,native_lowed_workers,mexfb_lowed_workers,mexfb_recent_lowed_workers,cum_native_share
38,10.964464,92736.0,2319.0,0.0,0.0025610684
44,10.944143,113357.0,2303.0,894.0,0.005691622
53,10.933928,762713.0,116122.0,11556.0,0.026755288
25,10.915287,617518.0,4232.0,125.0,0.04380914
33,10.884874,181098.0,638.0,0.0,0.04881048
9,10.876034,355068.0,10503.0,823.0,0.05861631
8,10.858415,542619.0,107156.0,9938.0,0.07360169
34,10.842567,740984.0,64897.0,6664.0,0.09406527
56,10.841229,81705.0,3744.0,818.0,0.0963217
27,10.837128,569517.0,33946.0,1872.0,0.112049915
49,10.823404,400929.0,56040.0,5309.0,0.12312228
24,10.818844,584227.0,19078.0,3161.0,0.13925675
50,10.815608,84954.0,310.0,0.0,0.14160289
2,10.814438,101465.0,403.0,0.0,0.14440504
41,10.798739,471831.0,68468.0,8884.0,0.15743548
11,10.783571,32831.0,229.0,0.0,0.15834217
6,10.775625,3.047859e+06,1.665363e+06,116769.0,0.24251418
15,10.763835,145349.0,1553.0,0.0,0.24652824
36,10.7583685,1.503365e+06,117789.0,11609.0,0.28804633
55,10.7545805,768611.0,42543.0,5530.0,0.3092729
4,10.744855,828174.0,198295.0,23016.0,0.33214435
23,10.735803,167391.0,472.0,0.0,0.33676717
32,10.723455,391980.0,110755.0,12200.0,0.34759238
51,10.719657,889241.0,25452.0,2119.0,0.37215033
16,10.710542,252284.0,30816.0,2400.0,0.3791176
17,10.710391,1.194219e+06,286428.0,16978.0,0.41209808
19,10.704912,406578.0,24170.0,3217.0,0.42332643
42,10.700747,1.736577e+06,24483.0,1187.0,0.47128507
46,10.69972,119595.0,930.0,144.0,0.47458795
18,10.69244,985818.0,60275.0,5860.0,0.50181305
10,10.683912,124473.0,9553.0,2341.0,0.50525063
20,10.681668,340038.0,44546.0,4905.0,0.51464134
39,10.680422,1.662518e+06,22832.0,4759.0,0.56055474
31,10.679915,207124.0,25396.0,3641.0,0.5662748
12,10.662617,2.185247e+06,145164.0,22430.0,0.6266243
26,10.651996,1.219791e+06,32672.0,3250.0,0.66031104
29,10.644555,838036.0,21642.0,2071.0,0.6834549
48,10.643402,3.326402e+06,977864.0,89668.0,0.77531934
30,10.632511,148549.0,338.0,0.0,0.7794218
37,10.630045,1.183986e+06,127497.0,16919.0,0.81211966
22,10.629539,640153.0,18334.0,5263.0,0.82979864
35,10.622944,260397.0,54304.0,5911.0,0.83698994
21,10.618501,630162.0,18999.0,3667.0,0.854393
13,10.612914,1.287748e+06,133254.0,19402.0,0.8899564
47,10.610639,984665.0,52800.0,8349.0,0.9171497
40,10.601262,549127.0,59448.0,6706.0,0.9323148
45,10.595219,688840.0,37844.0,8817.0,0.95133835
5,10.595207,438459.0,36323.0,3978.0,0.9634472
1,10.592758,664515.0,27153.0,4758.0,0.981799
54,10.579286,283369.0,1585.0,398.0,0.98962474
28,10.571678,375694.0,7805.0,725.0,1.0000002
