spec,period,sex,metros,beneficiaries,D,L,D_case,L_case,protection_bn,crowding_bn,net_bn,net_bn_se,fiscal_net_bn,fiscal_protection_bn,welfare_rho_1.0_bn,welfare_rho_0.75_bn,welfare_rho_0.5_bn,welfare_rho_0.0_bn,risk_premium_gamma_1_bn,risk_premium_gamma_2_bn,risk_premium_gamma_3_bn
CK_T5b_IV,GR_2006_2010,men,all_metros,other_natives,2.5,12.0,low,low,0.766079940291954,0.5769953369552604,0.18908460333669366,0.06541989624372213,0.07260848768129037,0.29417469707211036,0.18908460333669358,0.3333334375755087,0.4775822718143238,0.766079940291954,0.05575285752464147,0.11150571504928294,0.16725857257392443
CK_T5b_IV,GR_2006_2010,men,all_metros,other_natives,2.5,10.0,low,central,0.9192959283503448,0.6923944043463125,0.22690152400403238,0.07850387549246655,0.08713018521754844,0.3530096364865324,0.2269015240040323,0.40000012509061045,0.5730987261771885,0.9192959283503448,0.06690342902956976,0.13380685805913953,0.2007102870887093
CK_T5b_IV,GR_2006_2010,men,all_metros,other_natives,2.5,8.0,low,high,1.149119910437931,0.8654930054328906,0.28362690500504045,0.0981298443655832,0.10891273152193555,0.4412620456081655,0.2836269050050404,0.500000156363263,0.7163734077214856,1.149119910437931,0.0836292862869622,0.1672585725739244,0.2508878588608866
CK_T5b_IV,GR_2006_2010,men,all_metros,other_natives,5.0,12.0,central,low,1.532159880583908,1.1539906739105208,0.3781692066733873,0.13083979248744426,0.14521697536258074,0.5883493941442207,0.37816920667338716,0.6666668751510174,0.9551645436286476,1.532159880583908,0.11150571504928294,0.2230114300985659,0.33451714514784886
CK_T5b_IV,GR_2006_2010,men,all_metros,other_natives,5.0,10.0,central,central,1.8385918567006896,1.384788808692625,0.45380304800806476,0.1570077509849331,0.17426037043509687,0.7060192729730648,0.4538030480080646,0.8000002501812209,1.146197452354377,1.8385918567006896,0.13380685805913953,0.26761371611827905,0.4014205741774186
CK_T5b_IV,GR_2006_2010,men,all_metros,other_natives,5.0,8.0,central,high,2.298239820875862,1.7309860108657813,0.5672538100100809,0.1962596887311664,0.2178254630438711,0.882524091216331,0.5672538100100808,1.000000312726526,1.4327468154429712,2.298239820875862,0.1672585725739244,0.3345171451478488,0.5017757177217732
CK_T5b_IV,GR_2006_2010,men,all_metros,other_natives,7.5,12.0,high,low,2.298239820875862,1.7309860108657813,0.5672538100100809,0.1962596887311664,0.2178254630438711,0.882524091216331,0.5672538100100808,1.000000312726526,1.4327468154429712,2.298239820875862,0.1672585725739244,0.3345171451478488,0.5017757177217732
CK_T5b_IV,GR_2006_2010,men,all_metros,other_natives,7.5,10.0,high,central,2.757887785051034,2.0771832130389374,0.6807045720120971,0.23551162647739965,0.2613905556526453,1.059028909459597,0.6807045720120969,1.2000003752718313,1.7192961785315655,2.757887785051034,0.2007102870887093,0.4014205741774186,0.6021308612661279
CK_T5b_IV,GR_2006_2010,men,all_metros,other_natives,7.5,8.0,high,high,3.447359731313793,2.5964790162986717,0.8508807150151214,0.2943895330967496,0.32673819456580666,1.3237861368244965,0.8508807150151211,1.5000004690897892,2.1491202231644566,3.447359731313793,0.2508878588608866,0.5017757177217732,0.7526635765826599
CK_T5b_IV,GR_2006_2010,men,all_metros,other_natives_and_other_foreign_born,2.5,12.0,low,low,0.9383130788203264,0.6708786301187959,0.26743444870153094,0.09252754363557432,0.10269482830138789,0.3603122222670054,0.2674344487015306,0.4351541062312296,0.6028737637609285,0.9383130788203264,0.06575922874779903,0.13151845749559807,0.1972776862433971
CK_T5b_IV,GR_2006_2010,men,all_metros,other_natives_and_other_foreign_born,2.5,10.0,low,central,1.1259756945843917,0.805054356142555,0.3209213384418371,0.11103305236268918,0.12323379396166546,0.4323746667204064,0.3209213384418367,0.5221849274774755,0.7234485165131141,1.1259756945843917,0.07891107449735883,0.15782214899471766,0.2367332234920765
