year,birthplace,foreign_born_all_years,entered_2000_plus,degree_holders_25_64,degree_share_25_64,p1_medicaid_degree_25_64,p2_income_100k_degree_25_64,s1_medicaid_all,s2_poverty,s3_employed_25_64,x_employed_men_25_64,x_employed_women_25_64,lpr_total,share_employment,share_refugee_asylee,share_diversity,share_family,share_other,muslim_share_2010
2024,Mexico,11153915,5441362,556826,0.13030,0.08610,0.18759,0.20490,0.19071,0.73832,0.89234,0.56638,2885300,0.05556,0.00523,0.00007,0.88064,0.05851,0.005
2024,India,3176719,2334420,1634444,0.88015,0.02507,0.52899,0.06650,0.06591,0.82287,0.93675,0.69225,1331442,0.48999,0.02506,0.00062,0.47965,0.00468,0.14400000000000002
2024,China,2379080,1578867,701903,0.61471,0.05909,0.43453,0.20151,0.15753,0.79241,0.86098,0.73630,1339923,0.26841,0.18950,0.00035,0.53980,0.00194,0.018000000000000002
2024,Philippines,2163475,1122518,486598,0.58110,0.07316,0.24790,0.14962,0.06656,0.82165,0.85646,0.80130,989253,0.21102,0.00153,0.00013,0.78311,0.00421,0.055
2024,Cuba,1668447,1115445,234016,0.29017,0.14558,0.11373,0.25776,0.17738,0.79313,0.86330,0.71504,842929,0.00030,0.81217,0.00726,0.17964,0.00062,0.005
2024,El Salvador,1549505,929814,61539,0.09097,0.16679,0.10922,0.24136,0.17849,0.78051,0.89831,0.66417,422787,0.07491,0.04934,0.00001,0.73548,0.14027,0.005
2024,Vietnam,1399232,601695,142709,0.33143,0.08981,0.25558,0.24138,0.11940,0.80996,0.84097,0.79002,594170,0.03376,0.03176,0.00006,0.92396,0.01045,0.005
2024,Guatemala,1379579,1028067,50726,0.07608,0.17001,0.10630,0.22541,0.25174,0.76397,0.89761,0.56616,256073,0.09750,0.09444,0.00093,0.63604,0.17110,0.005
2024,Dominican Republic,1293816,784112,107588,0.20089,0.25292,0.10902,0.43913,0.20210,0.74415,0.80791,0.69033,843518,0.00771,0.00160,0.00011,0.98849,0.00209,0.005
2024,Colombia,1162856,789770,239499,0.42058,0.06719,0.16616,0.17338,0.13930,0.78653,0.87365,0.71636,430332,0.09568,0.11889,0.00038,0.78054,0.00450,0.005
2024,Korea,1078899,473376,272357,0.75785,0.06753,0.33788,0.11731,0.10951,0.73927,0.87078,0.63625,390189,0.57261,0.00039,0.00048,0.42451,0.00200,0.005
2024,Honduras,1001950,803678,43598,0.08628,0.10801,0.10365,0.18140,0.29980,0.75022,0.88852,0.60886,185588,0.10898,0.06607,0.00221,0.76916,0.05358,0.005
2024,Venezuela,998984,885234,284121,0.48458,0.07984,0.12497,0.14904,0.20689,0.79375,0.86180,0.72392,225544,0.23629,0.16913,0.04236,0.54913,0.00309,0.005
2024,Jamaica,870524,447556,93287,0.28183,0.08517,0.19938,0.19428,0.11031,0.81101,0.80828,0.81325,370633,0.04105,0.00159,0.00005,0.95510,0.00221,0.005
2024,Haiti,850253,554130,89746,0.22001,0.13589,0.12200,0.27207,0.18893,0.73342,0.76941,0.70183,368249,0.00813,0.10920,0.00003,0.84752,0.03511,0.005
2024,Canada,826563,401186,177578,0.65289,0.03163,0.50543,0.05024,0.09347,0.78699,0.86740,0.71281,251583,0.44660,0.00355,0.00428,0.52870,0.01688,0.021
2024,Brazil,728127,594525,219736,0.50398,0.07747,0.27344,0.17183,0.14000,0.76312,0.87577,0.67036,296279,0.33402,0.01464,0.00286,0.63982,0.00866,0.005
2024,United Kingdom,616853,304913,156486,0.67540,0.02538,0.55648,0.06071,0.06421,0.82186,0.87089,0.74057,238440,0.43692,0.00198,0.00769,0.55015,0.00326,0.048
2024,Ecuador,609966,392731,63586,0.22985,0.12687,0.17172,0.27016,0.18165,0.78089,0.87694,0.67741,209617,0.11092,0.01591,0.00686,0.83274,0.03357,0.005
2024,Nigeria,539400,411028,208567,0.68809,0.08722,0.24981,0.15824,0.14131,0.83605,0.86611,0.80299,252650,0.09732,0.02257,0.11513,0.76230,0.00268,0.488
2024,Peru,532146,303394,74283,0.34426,0.11418,0.22185,0.19477,0.17021,0.80853,0.87585,0.75444,233739,0.07760,0.03409,0.02279,0.85237,0.01315,0.005
2024,Germany,517337,175714,83230,0.62209,0.03254,0.48723,0.07106,0.09191,0.80928,0.90879,0.72766,111543,0.32869,0.01475,0.08198,0.57030,0.00428,0.057999999999999996
2024,Ukraine,508017,336134,131942,0.57132,0.20131,0.24498,0.34360,0.13230,0.75246,0.89056,0.64222,205816,0.09476,0.24010,0.18275,0.44321,0.03918,0.012
2024,Russia,431452,278161,127680,0.70616,0.15508,0.30199,0.25819,0.14031,0.72884,0.84093,0.65088,183518,0.19552,0.15208,0.13245,0.51109,0.00885,0.1
2024,Pakistan,417674,266896,130012,0.63598,0.11700,0.28335,0.25861,0.15071,0.69723,0.85648,0.54055,295070,0.17594,0.05808,0.00068,0.76058,0.00472,0.9640000000000001
2024,Iran,411097,210279,118212,0.68647,0.09978,0.39678,0.22470,0.10201,0.79363,0.87839,0.70446,229452,0.14643,0.28976,0.11728,0.44477,0.00175,0.995
2024,Taiwan,404244,153987,103363,0.82901,0.05348,0.39689,0.08333,0.12251,0.73284,0.85860,0.64857,116825,0.38305,0.00053,0.03042,0.58473,0.00128,0.005
2024,Nicaragua,395177,262150,34011,0.18101,0.11876,0.06898,0.17278,0.22338,0.75482,0.83632,0.66962,66038,0.02566,0.05115,0.00399,0.86454,0.05466,0.005
2024,Poland,386854,149147,56755,0.46862,0.07273,0.34233,0.11791,0.08419,0.80217,0.92291,0.70886,130245,0.19658,0.00305,0.06771,0.72598,0.00668,0.005
2024,Bangladesh,353066,263544,97989,0.49521,0.23082,0.19959,0.42135,0.17638,0.70163,0.87610,0.52494,262908,0.07811,0.02175,0.07890,0.81846,0.00277,0.904
2024,Japan,343320,193616,103299,0.70098,0.03251,0.34511,0.06731,0.08615,0.72054,0.95202,0.56201,108414,0.35130,0.00185,0.03727,0.60700,0.00257,0.005
2024,Ethiopia,305842,243534,57597,0.34228,0.16192,0.23649,0.27323,0.17772,0.78564,0.86749,0.70247,218837,0.01952,0.28761,0.19949,0.49211,0.00127,0.34600000000000003
2024,Italy,281446,83964,38456,0.65992,0.01950,0.47831,0.08511,0.09589,0.85956,0.91148,0.78728,59837,0.35260,0.02877,0.05138,0.56446,0.00279,0.037000000000000005
2024,Guyana,278985,121469,23445,0.26065,0.14485,0.21403,0.26905,0.10016,0.77016,0.81230,0.73999,112393,0.02204,0.00250,0.00176,0.97089,0.00280,0.064
2024,Thailand,268400,143337,46664,0.48555,0.07983,0.22613,0.23840,0.15811,0.75174,0.82279,0.71115,135707,0.07455,0.36575,0.00892,0.53934,0.01144,0.055
2024,Afghanistan,244323,215014,36075,0.29941,0.42054,0.16748,0.66330,0.41878,0.64283,0.86817,0.37294,162740,0.01374,0.12315,0.01658,0.13409,0.71244,0.995
2024,Hong Kong,239830,72260,36311,0.69515,0.07425,0.42940,0.12975,0.09467,0.75310,0.83557,0.67359,46672,0.26878,0.00392,0.01660,0.70874,0.00195,0.018000000000000002
2024,Trinidad and Tobago,233948,89184,24151,0.35734,0.08745,0.25924,0.17801,0.10307,0.80928,0.85232,0.77802,83112,0.08636,0.00152,0.00773,0.89647,0.00791,0.059000000000000004
2024,Iraq,229173,167315,38810,0.35237,0.20505,0.25573,0.47498,0.27663,0.66790,0.82187,0.49968,204974,0.02785,0.73043,0.01144,0.13561,0.09468,0.99
2024,Egypt,222127,147793,70747,0.68985,0.21363,0.28172,0.33289,0.21465,0.75498,0.86880,0.63474,175110,0.09481,0.17839,0.30681,0.41742,0.00256,0.9490000000000001
2024,Ghana,217525,165196,66394,0.52473,0.08826,0.25560,0.18081,0.12269,0.82369,0.82532,0.82193,143700,0.04964,0.01787,0.15204,0.77787,0.00258,0.158
2024,Argentina,211205,123192,45455,0.46444,0.02750,0.36322,0.09488,0.12458,0.79584,0.89523,0.68835,86367,0.32851,0.04461,0.01226,0.60455,0.01007,0.01
2024,Nepal,205971,189306,83298,0.56562,0.08899,0.32165,0.21918,0.10972,0.80034,0.87668,0.71685,171603,0.14384,0.29914,0.27156,0.28347,0.00199,0.046
2024,Turkey,186039,135617,74758,0.71447,0.05603,0.36197,0.12752,0.12383,0.76903,0.90723,0.58889,92141,0.27218,0.07170,0.20691,0.44500,0.00421,0.98
2024,France,183903,113657,67011,0.77407,0.02852,0.56568,0.06279,0.09212,0.85108,0.92907,0.74274,82216,0.47756,0.00743,0.04957,0.46231,0.00313,0.075
2024,Kenya,180096,145727,55566,0.51552,0.04548,0.32212,0.19144,0.15570,0.81594,0.82741,0.80634,122551,0.09548,0.25129,0.20308,0.44639,0.00376,0.09699999999999999
2024,Laos,164246,31970,3511,0.13673,0.02222,0.28567,0.24876,0.13164,0.73106,0.73121,0.73101,21787,0.02481,0.27097,0.00116,0.70149,0.00157,0.005
2024,Romania,162028,73931,39273,0.64292,0.07035,0.44789,0.13054,0.07646,0.83620,0.92485,0.76865,71008,0.19621,0.02494,0.13005,0.64533,0.00348,0.005
2024,South Africa,156545,99669,41466,0.59334,0.02023,0.41760,0.08279,0.15694,0.80561,0.87101,0.71812,57972,0.42018,0.04200,0.07058,0.46457,0.00266,0.017
2024,Myanmar,156146,120183,24625,0.24843,0.22936,0.13978,0.34641,0.14291,0.73919,0.82618,0.64538,162314,0.00958,0.83268,0.02723,0.13038,0.00013,0.04
2024,Israel,155059,84774,37702,0.62278,0.06772,0.46929,0.11998,0.10347,0.83339,0.89997,0.74607,81750,0.39551,0.01186,0.02075,0.56766,0.00422,0.18600000000000003
2024,Cambodia,148903,53598,8559,0.21679,0.16240,0.12630,0.25391,0.08533,0.74965,0.83097,0.70610,59146,0.03175,0.03212,0.04688,0.86923,0.02003,0.02
2024,Lebanon,141012,63954,26596,0.58291,0.09742,0.40134,0.30547,0.23402,0.72752,0.87926,0.54847,61651,0.15344,0.04352,0.02014,0.78040,0.00250,0.613
2024,Spain,137467,94392,42344,0.75552,0.03096,0.42013,0.09288,0.14364,0.84384,0.93106,0.73139,46953,0.38755,0.09023,0.03056,0.48854,0.00312,0.021
2024,Chile,131406,80669,25625,0.49529,0.05604,0.23961,0.17822,0.17694,0.75115,0.85279,0.64608,35811,0.23575,0.03771,0.00827,0.70805,0.01022,0.005
2024,Portugal,128432,27188,8392,0.38151,0.00000,0.44423,0.08452,0.09701,0.84602,0.87621,0.79317,17164,0.24272,0.00764,0.01301,0.72911,0.00752,0.005
2024,Syria,124530,83859,18835,0.38698,0.19427,0.24954,0.49392,0.31168,0.61908,0.76595,0.44983,75499,0.07244,0.38236,0.01721,0.52635,0.00165,0.9279999999999999
2024,Greece,121078,30988,13196,0.63357,0.06297,0.49568,0.13851,0.15651,0.86461,0.97666,0.72223,20252,0.26878,0.01430,0.07209,0.64142,0.00341,0.053
2024,Ireland,117005,40531,21059,0.60703,0.01719,0.59219,0.05470,0.03310,0.88507,0.95534,0.75354,29770,0.36819,0.00131,0.02954,0.59898,0.00198,0.011000000000000001
2024,Albania,114458,82733,23228,0.39525,0.18710,0.25706,0.25171,0.07561,0.82087,0.90138,0.74702,92978,0.02506,0.13164,0.32283,0.51880,0.00168,0.8029999999999999
2024,Armenia,113070,75234,28181,0.53957,0.40843,0.26724,0.53084,0.24419,0.67235,0.73615,0.61941,62560,0.04651,0.24478,0.29648,0.40623,0.00599,0.005
2024,Australia,112553,74975,38481,0.67389,0.03789,0.56514,0.05733,0.05071,0.81675,0.90530,0.69451,52814,0.33559,0.00102,0.10398,0.55694,0.00247,0.024
2024,Bosnia and Herzegovina,108370,38521,9816,0.29947,0.02628,0.36145,0.13748,0.08589,0.84731,0.90470,0.79150,32369,0.03826,0.59862,0.02344,0.33899,0.00068,0.452
2024,Panama,108063,34447,8555,0.34290,0.09036,0.24605,0.16376,0.22215,0.69995,0.76995,0.65485,24486,0.07647,0.02207,0.00482,0.89062,0.00601,0.005
2024,Indonesia,105197,56651,28259,0.62586,0.07265,0.26558,0.14798,0.13036,0.74413,0.86427,0.67551,49635,0.18608,0.20105,0.03426,0.56771,0.01090,0.872
2024,Costa Rica,105046,56006,14217,0.33337,0.08293,0.35584,0.12502,0.14193,0.78329,0.90878,0.67284,42062,0.11795,0.02599,0.00518,0.84098,0.00989,0.005
