outcome,model,weighting,term,coef,se_hc3,ci_low,ci_high,n
p1_medicaid_degree_25_64,1,unweighted,intercept,8.704,1.066,6.616,10.792,66
p1_medicaid_degree_25_64,1,unweighted,muslim_share_2010,8.734,3.937,1.017,16.45,66
p1_medicaid_degree_25_64,1,weighted,intercept,9.284,1.148,7.033,11.534,66
p1_medicaid_degree_25_64,1,weighted,muslim_share_2010,7.801,4.637,-1.287,16.889,66
p1_medicaid_degree_25_64,2,unweighted,intercept,13.641,1.749,10.213,17.069,66
p1_medicaid_degree_25_64,2,unweighted,muslim_share_2010,4.82,4.771,-4.532,14.172,66
p1_medicaid_degree_25_64,2,unweighted,share_employment,-28.701,6.156,-40.768,-16.635,66
p1_medicaid_degree_25_64,2,unweighted,share_refugee_asylee,0.696,6.179,-11.415,12.807,66
p1_medicaid_degree_25_64,2,unweighted,share_diversity,14.932,20.805,-25.846,55.71,66
p1_medicaid_degree_25_64,2,weighted,intercept,12.766,2.973,6.939,18.594,66
p1_medicaid_degree_25_64,2,weighted,muslim_share_2010,6.872,5.04,-3.007,16.751,66
p1_medicaid_degree_25_64,2,weighted,share_employment,-22.984,7.321,-37.333,-8.635,66
p1_medicaid_degree_25_64,2,weighted,share_refugee_asylee,2.881,4.835,-6.596,12.358,66
p1_medicaid_degree_25_64,2,weighted,share_diversity,6.573,15.672,-24.144,37.29,66
p1_medicaid_degree_25_64,3,unweighted,intercept,13.59,2.308,9.067,18.114,59
p1_medicaid_degree_25_64,3,unweighted,muslim_share_2010,4.891,4.737,-4.393,14.174,59
p1_medicaid_degree_25_64,3,unweighted,share_employment,-28.685,7.278,-42.949,-14.421,59
p1_medicaid_degree_25_64,3,unweighted,share_refugee_asylee,0.497,6.5,-12.243,13.237,59
p1_medicaid_degree_25_64,3,unweighted,share_diversity,15.274,21.177,-26.232,56.781,59
p1_medicaid_degree_25_64,3,weighted,intercept,14.359,3.249,7.991,20.728,59
p1_medicaid_degree_25_64,3,weighted,muslim_share_2010,6.449,4.83,-3.017,15.915,59
p1_medicaid_degree_25_64,3,weighted,share_employment,-26.765,8.188,-42.813,-10.717,59
p1_medicaid_degree_25_64,3,weighted,share_refugee_asylee,-0.007,4.499,-8.824,8.811,59
p1_medicaid_degree_25_64,3,weighted,share_diversity,3.838,16.128,-27.773,35.449,59
p2_income_100k_degree_25_64,1,unweighted,intercept,30.627,2.087,26.536,34.718,66
p2_income_100k_degree_25_64,1,unweighted,muslim_share_2010,-1.825,3.51,-8.705,5.055,66
p2_income_100k_degree_25_64,1,weighted,intercept,24.855,3.646,17.71,32.001,66
p2_income_100k_degree_25_64,1,weighted,muslim_share_2010,9.049,5.945,-2.603,20.701,66
p2_income_100k_degree_25_64,2,unweighted,intercept,14.714,2.151,10.499,18.929,66
p2_income_100k_degree_25_64,2,unweighted,muslim_share_2010,2.735,2.494,-2.153,7.622,66
p2_income_100k_degree_25_64,2,unweighted,share_employment,73.583,9.761,54.451,92.714,66
p2_income_100k_degree_25_64,2,unweighted,share_refugee_asylee,2.572,5.954,-9.097,14.241,66
p2_income_100k_degree_25_64,2,unweighted,share_diversity,28.591,8.682,11.574,45.608,66
p2_income_100k_degree_25_64,2,weighted,intercept,12.097,2.756,6.695,17.498,66
p2_income_100k_degree_25_64,2,weighted,muslim_share_2010,6.529,3.348,-0.033,13.09,66
p2_income_100k_degree_25_64,2,weighted,share_employment,73.914,12.504,49.407,98.421,66
p2_income_100k_degree_25_64,2,weighted,share_refugee_asylee,0.21,6.277,-12.093,12.513,66
p2_income_100k_degree_25_64,2,weighted,share_diversity,26.818,12.595,2.131,51.504,66
p2_income_100k_degree_25_64,3,unweighted,intercept,16.731,2.279,12.263,21.199,59
p2_income_100k_degree_25_64,3,unweighted,muslim_share_2010,1.873,2.531,-3.088,6.835,59
p2_income_100k_degree_25_64,3,unweighted,share_employment,69.023,9.929,49.562,88.483,59
p2_income_100k_degree_25_64,3,unweighted,share_refugee_asylee,0.96,6.174,-11.141,13.062,59
p2_income_100k_degree_25_64,3,unweighted,share_diversity,24.054,8.257,7.87,40.239,59
p2_income_100k_degree_25_64,3,weighted,intercept,13.381,2.726,8.039,18.723,59
p2_income_100k_degree_25_64,3,weighted,muslim_share_2010,5.691,3.618,-1.399,12.782,59
p2_income_100k_degree_25_64,3,weighted,share_employment,71.836,12.395,47.542,96.129,59
p2_income_100k_degree_25_64,3,weighted,share_refugee_asylee,-0.01,8.242,-16.164,16.144,59
p2_income_100k_degree_25_64,3,weighted,share_diversity,22.846,12.264,-1.192,46.884,59
s1_medicaid_all,1,unweighted,intercept,17.166,1.466,14.292,20.04,66
s1_medicaid_all,1,unweighted,muslim_share_2010,16.93,6.098,4.977,28.883,66
s1_medicaid_all,1,weighted,intercept,18.798,1.767,15.334,22.262,66
s1_medicaid_all,1,weighted,muslim_share_2010,13.484,6.813,0.13,26.837,66
s1_medicaid_all,2,unweighted,intercept,26.513,2.958,20.715,32.31,66
s1_medicaid_all,2,unweighted,muslim_share_2010,12.098,6.924,-1.473,25.668,66
s1_medicaid_all,2,unweighted,share_employment,-42.428,13.624,-69.132,-15.725,66
s1_medicaid_all,2,unweighted,share_refugee_asylee,6.868,7.538,-7.907,21.642,66
s1_medicaid_all,2,unweighted,share_diversity,1.92,25.227,-47.526,51.365,66
s1_medicaid_all,2,unweighted,degree_share_25_64,-3.758,9.191,-21.772,14.256,66
s1_medicaid_all,2,weighted,intercept,25.247,3.421,18.541,31.953,66
s1_medicaid_all,2,weighted,muslim_share_2010,13.821,7.185,-0.26,27.903,66
s1_medicaid_all,2,weighted,share_employment,-38.66,16.795,-71.578,-5.741,66
s1_medicaid_all,2,weighted,share_refugee_asylee,5.255,11.818,-17.909,28.418,66
s1_medicaid_all,2,weighted,share_diversity,-5.664,21.36,-47.529,36.201,66
s1_medicaid_all,2,weighted,degree_share_25_64,-1.035,9.921,-20.481,18.411,66
s1_medicaid_all,3,unweighted,intercept,30.168,4.918,20.528,39.807,59
s1_medicaid_all,3,unweighted,muslim_share_2010,11.937,6.965,-1.715,25.588,59
s1_medicaid_all,3,unweighted,share_employment,-41.125,15.837,-72.166,-10.085,59
s1_medicaid_all,3,unweighted,share_refugee_asylee,4.346,7.942,-11.22,19.911,59
s1_medicaid_all,3,unweighted,share_diversity,1.636,25.73,-48.794,52.066,59
s1_medicaid_all,3,unweighted,degree_share_25_64,-9.65,13.711,-36.523,17.223,59
s1_medicaid_all,3,weighted,intercept,35.29,6.553,22.447,48.133,59
s1_medicaid_all,3,weighted,muslim_share_2010,15.632,6.865,2.176,29.087,59
s1_medicaid_all,3,weighted,share_employment,-19.401,16.368,-51.483,12.681,59
s1_medicaid_all,3,weighted,share_refugee_asylee,0.94,11.009,-20.638,22.518,59
s1_medicaid_all,3,weighted,share_diversity,2.178,21.046,-39.072,43.427,59
s1_medicaid_all,3,weighted,degree_share_25_64,-25.586,15.185,-55.347,4.176,59
s2_poverty,1,unweighted,intercept,13.481,0.826,11.861,15.101,66
s2_poverty,1,unweighted,muslim_share_2010,6.507,3.795,-0.931,13.946,66
s2_poverty,1,weighted,intercept,15.738,1.584,12.633,18.842,66
s2_poverty,1,weighted,muslim_share_2010,2.018,4.62,-7.037,11.074,66
s2_poverty,2,unweighted,intercept,20.802,2.554,15.796,25.809,66
s2_poverty,2,unweighted,muslim_share_2010,7.818,4.104,-0.225,15.861,66
s2_poverty,2,unweighted,share_employment,-1.929,9.084,-19.733,15.876,66
s2_poverty,2,unweighted,share_refugee_asylee,1.651,4.718,-7.597,10.899,66
s2_poverty,2,unweighted,share_diversity,-5.62,17.632,-40.179,28.939,66
s2_poverty,2,unweighted,degree_share_25_64,-14.837,8.369,-31.24,1.567,66
s2_poverty,2,weighted,intercept,22.829,1.804,19.294,26.364,66
s2_poverty,2,weighted,muslim_share_2010,9.233,4.18,1.041,17.426,66
s2_poverty,2,weighted,share_employment,14.842,9.018,-2.834,32.518,66
s2_poverty,2,weighted,share_refugee_asylee,6.142,7.339,-8.243,20.526,66
s2_poverty,2,weighted,share_diversity,7.106,13.119,-18.606,32.818,66
s2_poverty,2,weighted,degree_share_25_64,-27.312,7.096,-41.22,-13.403,66
s2_poverty,3,unweighted,intercept,16.649,3.447,9.893,23.405,59
s2_poverty,3,unweighted,muslim_share_2010,7.439,4.409,-1.203,16.08,59
s2_poverty,3,unweighted,share_employment,-8.295,9.121,-26.173,9.582,59
s2_poverty,3,unweighted,share_refugee_asylee,3.442,4.819,-6.004,12.889,59
s2_poverty,3,unweighted,share_diversity,-8.654,16.746,-41.476,24.168,59
s2_poverty,3,unweighted,degree_share_25_64,-5.151,9.618,-24.001,13.7,59
s2_poverty,3,weighted,intercept,22.193,2.807,16.692,27.695,59
s2_poverty,3,weighted,muslim_share_2010,8.654,4.529,-0.224,17.532,59
s2_poverty,3,weighted,share_employment,8.95,9.805,-10.268,28.168,59
s2_poverty,3,weighted,share_refugee_asylee,5.036,6.647,-7.993,18.064,59
s2_poverty,3,weighted,share_diversity,3.68,13.202,-22.196,29.555,59
s2_poverty,3,weighted,degree_share_25_64,-23.124,9.173,-41.102,-5.146,59
s3_employed_25_64,1,unweighted,intercept,78.827,0.665,77.523,80.131,66
s3_employed_25_64,1,unweighted,muslim_share_2010,-6.11,2.354,-10.724,-1.497,66
s3_employed_25_64,1,weighted,intercept,77.686,1.308,75.122,80.251,66
s3_employed_25_64,1,weighted,muslim_share_2010,-3.74,3.035,-9.69,2.209,66
s3_employed_25_64,2,unweighted,intercept,75.992,1.327,73.391,78.592,66
s3_employed_25_64,2,unweighted,muslim_share_2010,-6.146,2.706,-11.449,-0.843,66
s3_employed_25_64,2,unweighted,share_employment,8.934,8.718,-8.154,26.021,66
s3_employed_25_64,2,unweighted,share_refugee_asylee,-1.587,4.101,-9.625,6.451,66
s3_employed_25_64,2,unweighted,share_diversity,13.667,12.649,-11.125,38.458,66
s3_employed_25_64,2,unweighted,degree_share_25_64,1.399,6.029,-10.417,13.216,66
s3_employed_25_64,2,weighted,intercept,73.829,1.696,70.506,77.152,66
s3_employed_25_64,2,weighted,muslim_share_2010,-7.947,2.411,-12.673,-3.221,66
s3_employed_25_64,2,weighted,share_employment,-5.905,8.207,-21.991,10.18,66
s3_employed_25_64,2,weighted,share_refugee_asylee,0.395,5.072,-9.546,10.336,66
s3_employed_25_64,2,weighted,share_diversity,2.308,9.969,-17.231,21.847,66
s3_employed_25_64,2,weighted,degree_share_25_64,12.739,5.415,2.126,23.352,66
s3_employed_25_64,3,unweighted,intercept,77.328,2.275,72.869,81.787,59
s3_employed_25_64,3,unweighted,muslim_share_2010,-6.259,2.832,-11.809,-0.709,59
s3_employed_25_64,3,unweighted,share_employment,8.873,10.013,-10.751,28.498,59
s3_employed_25_64,3,unweighted,share_refugee_asylee,-2.636,4.114,-10.7,5.429,59
s3_employed_25_64,3,unweighted,share_diversity,13.211,12.706,-11.692,38.115,59
s3_employed_25_64,3,unweighted,degree_share_25_64,-0.438,8.281,-16.668,15.792,59
s3_employed_25_64,3,weighted,intercept,73.716,2.378,69.056,78.377,59
s3_employed_25_64,3,weighted,muslim_share_2010,-8.419,2.602,-13.519,-3.32,59
s3_employed_25_64,3,weighted,share_employment,-10.199,10.033,-29.863,9.466,59
s3_employed_25_64,3,weighted,share_refugee_asylee,-0.768,6.115,-12.754,11.218,59
s3_employed_25_64,3,weighted,share_diversity,-0.244,10.527,-20.878,20.389,59
s3_employed_25_64,3,weighted,degree_share_25_64,15.357,8.121,-0.561,31.274,59
x_employed_men_25_64,1,unweighted,intercept,86.756,0.741,85.304,88.208,66
x_employed_men_25_64,1,unweighted,muslim_share_2010,-0.343,1.616,-3.51,2.824,66
x_employed_men_25_64,1,weighted,intercept,87.596,0.864,85.904,89.289,66
x_employed_men_25_64,1,weighted,muslim_share_2010,-0.336,1.432,-3.142,2.47,66
x_employed_men_25_64,2,unweighted,intercept,84.546,1.497,81.612,87.479,66
x_employed_men_25_64,2,unweighted,muslim_share_2010,1.936,2.06,-2.102,5.975,66
x_employed_men_25_64,2,unweighted,share_employment,23.124,6.774,9.847,36.401,66
x_employed_men_25_64,2,unweighted,share_refugee_asylee,-2.02,3.358,-8.602,4.563,66
x_employed_men_25_64,2,unweighted,share_diversity,9.761,9.597,-9.049,28.57,66
x_employed_men_25_64,2,unweighted,degree_share_25_64,-5.536,4.641,-14.633,3.56,66
x_employed_men_25_64,2,weighted,intercept,87.372,2.432,82.605,92.139,66
x_employed_men_25_64,2,weighted,muslim_share_2010,2.246,1.788,-1.258,5.75,66
x_employed_men_25_64,2,weighted,share_employment,25.938,8.767,8.753,43.122,66
x_employed_men_25_64,2,weighted,share_refugee_asylee,0.012,7.055,-13.815,13.839,66
x_employed_men_25_64,2,weighted,share_diversity,9.924,10.027,-9.728,29.576,66
x_employed_men_25_64,2,weighted,degree_share_25_64,-11.35,5.421,-21.975,-0.725,66
x_employed_men_25_64,3,unweighted,intercept,81.753,2.068,77.701,85.806,59
x_employed_men_25_64,3,unweighted,muslim_share_2010,1.377,2.159,-2.855,5.609,59
x_employed_men_25_64,3,unweighted,share_employment,16.517,7.108,2.585,30.45,59
x_employed_men_25_64,3,unweighted,share_refugee_asylee,-1.139,3.28,-7.568,5.29,59
x_employed_men_25_64,3,unweighted,share_diversity,6.117,10.326,-14.122,26.357,59
x_employed_men_25_64,3,unweighted,degree_share_25_64,2.383,6.185,-9.741,14.506,59
x_employed_men_25_64,3,weighted,intercept,80.066,2.474,75.217,84.915,59
x_employed_men_25_64,3,weighted,muslim_share_2010,0.708,1.824,-2.867,4.283,59
x_employed_men_25_64,3,weighted,share_employment,10.403,7.285,-3.875,24.681,59
x_employed_men_25_64,3,weighted,share_refugee_asylee,2.832,5.922,-8.775,14.439,59
x_employed_men_25_64,3,weighted,share_diversity,3.327,9.088,-14.486,21.141,59
x_employed_men_25_64,3,weighted,degree_share_25_64,7.408,6.959,-6.231,21.047,59
x_employed_women_25_64,1,unweighted,intercept,71.119,0.948,69.26,72.978,66
x_employed_women_25_64,1,unweighted,muslim_share_2010,-13.199,4.111,-21.257,-5.141,66
x_employed_women_25_64,1,weighted,intercept,67.448,3.464,60.658,74.238,66
x_employed_women_25_64,1,weighted,muslim_share_2010,-8.066,6.849,-21.49,5.359,66
x_employed_women_25_64,2,unweighted,intercept,66.358,2.831,60.81,71.906,66
x_employed_women_25_64,2,unweighted,muslim_share_2010,-17.111,4.656,-26.237,-7.985,66
x_employed_women_25_64,2,unweighted,share_employment,-18.813,12.815,-43.93,6.305,66
x_employed_women_25_64,2,unweighted,share_refugee_asylee,-2.113,5.995,-13.863,9.637,66
x_employed_women_25_64,2,unweighted,share_diversity,11.74,19.742,-26.954,50.433,66
