year,birthplace,foreign_born_all_years,entered_2000_plus,degree_holders_25_64,degree_share_25_64,p1_medicaid_degree_25_64,p2_income_100k_degree_25_64,s1_medicaid_all,s2_poverty,s3_employed_25_64,x_employed_men_25_64,x_employed_women_25_64
2024,Mexico,11153915,5441362,556826,0.13030,0.08610,0.18759,0.20490,0.19071,0.73832,0.89234,0.56638
2024,India,3176719,2334420,1634444,0.88015,0.02507,0.52899,0.06650,0.06591,0.82287,0.93675,0.69225
2024,China,2379080,1578867,701903,0.61471,0.05909,0.43453,0.20151,0.15753,0.79241,0.86098,0.73630
2024,Philippines,2163475,1122518,486598,0.58110,0.07316,0.24790,0.14962,0.06656,0.82165,0.85646,0.80130
2024,Cuba,1668447,1115445,234016,0.29017,0.14558,0.11373,0.25776,0.17738,0.79313,0.86330,0.71504
2024,El Salvador,1549505,929814,61539,0.09097,0.16679,0.10922,0.24136,0.17849,0.78051,0.89831,0.66417
2024,Vietnam,1399232,601695,142709,0.33143,0.08981,0.25558,0.24138,0.11940,0.80996,0.84097,0.79002
2024,Guatemala,1379579,1028067,50726,0.07608,0.17001,0.10630,0.22541,0.25174,0.76397,0.89761,0.56616
2024,Dominican Republic,1293816,784112,107588,0.20089,0.25292,0.10902,0.43913,0.20210,0.74415,0.80791,0.69033
2024,Colombia,1162856,789770,239499,0.42058,0.06719,0.16616,0.17338,0.13930,0.78653,0.87365,0.71636
2024,Korea,1078899,473376,272357,0.75785,0.06753,0.33788,0.11731,0.10951,0.73927,0.87078,0.63625
2024,Honduras,1001950,803678,43598,0.08628,0.10801,0.10365,0.18140,0.29980,0.75022,0.88852,0.60886
2024,Venezuela,998984,885234,284121,0.48458,0.07984,0.12497,0.14904,0.20689,0.79375,0.86180,0.72392
2024,Jamaica,870524,447556,93287,0.28183,0.08517,0.19938,0.19428,0.11031,0.81101,0.80828,0.81325
2024,Haiti,850253,554130,89746,0.22001,0.13589,0.12200,0.27207,0.18893,0.73342,0.76941,0.70183
2024,Canada,826563,401186,177578,0.65289,0.03163,0.50543,0.05024,0.09347,0.78699,0.86740,0.71281
