cbsa,mex2000,fb2000,pop2000,mex_base_share_natl,fb_base_share_natl
10180,2415,5533,160245,0.0002630665653179576,0.00017724050027116228
10380,244,2635,347938,2.6578982168770872e-05,8.440786521137042e-05
10420,412,20772,694960,4.487926497349836e-05,0.0006653966512981353
10500,430,2551,157833,4.684000955971916e-05,8.171706419514458e-05
10540,1401,3591,103069,0.00015261128696085244,0.00011503174344365511
10580,434,39685,825875,4.727573057887934e-05,0.001271243313439558
10740,34015,56895,729649,0.003705262616683366,0.0018225371883115447
10780,397,2069,145035,4.324531115164769e-05,6.62769916972772e-05
10900,1600,38537,740395,0.0001742884076640713,0.0012344690328844714
11020,28,1310,129144,3.050047134121248e-06,4.196368251495076e-05
11100,8613,13758,228707,0.0009382162845066538,0.0004407147664432768
11180,276,5537,79981,3.0064750322052298e-05,0.0001773686336528873
11260,1747,22802,319605,0.00019030115511820784,0.0007304243425235934
11460,871,33164,322895,9.487825192212881e-05,0.0010623538678823108
11500,586,1907,112249,6.38331293069661e-05,6.108758973741306e-05
11540,936,5911,201602,0.00010195871848348171,0.0001893491048441786
11640,104,1924,199750,1.1328746498164635e-05,6.163215660974448e-05
11700,5636,14434,369171,0.0006139309159966911,0.00046236930795480864
12020,3575,10283,166079,0.0003894256608744093,0.00032939889106964787
12060,120620,424686,4263438,0.013139167332775174,0.013604113337820137
12100,3605,29795,252552,0.00039269356851811063,0.0009544335271243954
12220,157,3089,115092,1.7102050002036996e-05,9.895100403716253e-05
12260,1705,15037,508032,0.00018572608441702599,0.0004816854152498585
12420,84213,152834,1249763,0.009173343546634023,0.00489578431564121
12540,83328,111944,661645,0.009076940271144833,0.0035859408209569835
12580,4191,146128,2552994,0.00045652669782507676,0.00468096870117918
12620,28,3646,144919,3.050047134121248e-06,0.00011679357744237441
12700,110,10982,222230,1.19823280269049e-05,0.0003517901995260987
12940,1587,18427,705973,0.00017287231435180071,0.0005902784562618304
12980,600,3258,137985,6.535815287402673e-05,0.00010436463941504548
13020,214,1536,110157,2.3311074525069537e-05,4.920321858241555e-05
13140,8852,18107,400162,0.0009642506154014744,0.000580027785723827
13220,36,1303,126799,3.921489172441604e-06,4.173944909693194e-05
13380,1738,16342,166814,0.00018932078282509745,0.0005234889310376529
13460,829,3189,115367,9.030318122094695e-05,0.00010215433858028853
13740,184,1956,139946,2.00431668813682e-05,6.26572236635448e-05
13780,104,11408,252320,1.1328746498164635e-05,0.0003654364046798155
13820,7391,22224,1052238,0.0008051035131532193,0.000711909068864325
13900,32,1290,100828,3.485768153281426e-06,4.132301560632556e-05
13980,287,5764,165146,3.126298312474279e-05,0.00018464020306578337
14010,878,5180,167231,9.564076370565912e-05,0.00016593272933392744
14020,118,6653,142349,1.2853770065225257e-05,0.0002131178471541736
14100,68,1319,82387,7.40725732572303e-06,4.225198262383211e-05
14260,13230,26405,464840,0.0014411472708722895,0.0008458404861124236
14460,5676,602062,4391344,0.0006182881261882929,0.019286060017035332
14500,10294,27279,291288,0.0011213280428087186,0.000873837630019345
14540,828,4368,134976,9.01942509661569e-05,0.00013992165284374422
14740,848,13180,231969,9.237285606195779e-05,0.0004221994927840084
14860,6270,149038,882567,0.0006829926975335794,0.004774185736384147
15180,80421,85723,335227,0.008760280020470173,0.002745994470403912
15260,723,2475,93044,7.875657421320222e-05,7.928252994236881e-05
15380,451,51381,1170111,4.91275449103101e-05,0.0016459053216035765
15500,5400,8281,130800,0.0005882233758662406,0.0002652681335162651
15540,34,10647,198889,3.703628662861515e-06,0.0003410590288066265
15680,28,2432,86211,3.050047134121248e-06,7.790509608882462e-05
15940,317,6848,406934,3.4530890768444124e-05,0.00021936434951326934
15980,8384,40362,440888,0.0009132712561597336,0.0012929298882965211
16020,51,1045,90312,5.555442994292272e-06,3.347484597566683e-05
16060,437,3780,120908,4.760252134324947e-05,0.00012108604573016327
16180,3018,5205,52457,0.0003287515089563545,0.00016673356296970895
16220,317,1197,66533,3.4530890768444124e-05,3.8343914481218366e-05
16300,529,5253,237230,5.7624104783933574e-05,0.00016827116355040944
16540,530,2632,129313,5.7733035038723616e-05,8.431176517507665e-05
16580,896,14638,210275,9.760150829187993e-05,0.0004689041104227857
16620,102,2966,235938,1.1110885988584544e-05,9.501090254911753e-05
16700,3138,18257,549033,0.00034182313953115984,0.0005848327875385161
16740,36686,105344,1717372,0.003996215327227575,0.0033745207411106665
16820,1034,9968,189644,0.00011263388345290608,0.0003193083872588009
16860,1539,11282,476531,0.00016764366212187857,0.0003614002031554767
16940,576,2399,81607,6.274382675906566e-05,7.684799568959304e-05
16980,600470,1464121,9098316,0.06540935009377806,0.04690069374616201
17020,6888,15668,203171,0.0007503115949938269,0.0005018984562169836
17140,3700,51285,1994830,0.00040304194272316486,0.0016428301204421754
17300,768,7800,219630,8.365843567875423e-05,0.00024986009436382895
17420,594,2090,104015,6.470457134528647e-05,6.694969195133366e-05
17460,3662,113006,2148143,0.0003989025930411432,0.0036199602338049816
17660,129,2598,108685,1.4052002867915747e-05,8.32226314304138e-05
17780,7682,16658,184885,0.0008368022172971223,0.0005336114681939311
17820,6789,33679,537484,0.0007395274997696125,0.0010788510407794098
17860,529,6142,135454,5.7624104783933574e-05,0.00019674880763879968
17900,4015,21195,647158,0.0004373549729820289,0.0006789467564155584
17980,1693,11364,281768,0.00018441892135954543,0.00036402693748084007
18020,730,2683,71435,7.951908599673253e-05,8.594546579207092e-05
18140,6301,72328,1675013,0.0006863695354320708,0.0023169078083521825
18580,15390,23995,403280,0.0016764366212187857,0.0007686401236230867
18700,1199,5959,78153,0.00013060737549326341,0.00019088670542487908
18880,617,10296,211099,6.720996720545749e-05,0.00032981532456025423
19060,107,1085,102008,1.1655537262534769e-05,3.475617979291723e-05
19100,457378,784696,5204126,0.049822302075361,0.025136438026528096
19140,12597,15216,120031,0.0013721944195901913,0.00048741938408205403
19180,662,1423,83919,7.21118286710095e-05,4.558345054868316e-05
19300,615,2957,140415,6.69921066958774e-05,9.472260244023618e-05
19340,5204,12733,376019,0.0005668730459273918,0.00040788058737623517
19380,817,20372,805816,8.89960181634664e-05,0.0006525833131256313
19460,1922,3183,145867,0.00020936394970646563,0.00010196213850770098
19500,189,1571,114706,2.058781815531842e-05,5.0324385672509657e-05
19660,3697,33310,493175,0.0004027151519587947,0.0010670307363152747
19740,116273,234121,2157756,0.012665647515202851,0.007499678865712052
19780,5878,24468,481394,0.0006402920376558819,0.0007837918960120727
19820,25716,337059,4452557,0.002801250432180786,0.010797127377715106
20020,443,1799,130861,4.825610287198974e-05,5.7627988430836964e-05
20100,284,5050,126697,3.0936192360372656e-05,0.00016176839442786362
20220,396,1655,89143,4.313638089685764e-05,5.301518668873551e-05
20260,181,5087,275486,1.9716376116998067e-05,0.00016295362820882025
20500,15110,39721,426493,0.0016459361498775732,0.0012723965138750834
20700,71,8066,138687,7.734048090093164e-06,0.0002583809642485442
20740,92,2612,148337,1.00215834406841e-05,8.367109826645145e-05
20940,43083,45783,142361,0.00469304216711949,0.0014665826538793822
21060,267,4845,133896,2.9084378028941898e-05,0.0001552015586144553
21140,8689,12982,182791,0.0009464949838706971,0.00041585689038861894
21300,18,1972,91070,1.960744586220802e-06,6.316975719044497e-05
21340,170805,187278,682966,0.018605832169413562,0.005999140865675534
21500,366,7706,280843,3.986847325315631e-05,0.00024684895989329054
21660,4099,15961,322959,0.00044650511438439267,0.0005112842264283429
21780,350,4055,296195,3.81255891765156e-05,0.0001298952157237598
21820,134,3353,82840,1.4596654141865972e-05,0.0001074078072310152
22020,356,5268,174367,3.877917070525586e-05,0.00016875166373187835
22140,1984,2746,113801,0.0002161176255034484,8.79635665542403e-05
22180,2541,17865,336609,0.00027679177742150323,0.0005722757161294622
22220,13010,23028,347045,0.0014171826148184797,0.0007376638785910581
22380,2730,5051,116320,0.00029737959557682165,0.0001618004277732949
22420,399,9353,436141,4.346317166122778e-05,0.0002996078798185759
22500,502,2824,193155,5.468298790460237e-05,9.046216749787859e-05
22520,380,1374,142950,4.139349682021693e-05,4.4013816622551414e-05
22540,555,1957,97296,6.045629140847473e-05,6.268925700897607e-05
22660,3182,10709,251494,0.00034661607074192176,0.00034304509622336466
22900,4805,10696,255399,0.0005234098742661641,0.0003426286627327583
23060,3718,13883,390156,0.0004050026873093857,0.0004447189346221843
23420,111964,168717,799407,0.012196267047312548,0.005404569941125915
23460,338,1687,103459,3.681842611903506e-05,5.404025374253583e-05
23540,472,16146,232392,5.141508026090103e-05,0.000517210395333126
23580,17362,22502,139277,0.0018912470836647537,0.0007208143388942153
23900,1603,3130,91292,0.00017461519842844144,0.00010026437119984419
24020,63,2694,124345,6.862606051772807e-06,8.629783259181478e-05
24140,2215,4792,113329,0.0002412805143599487,0.00015350379130659852
24220,287,2803,97478,3.126298312474279e-05,8.978946724382213e-05
24260,2560,4633,77708,0.00027886145226251405,0.00014841048938302816
24300,1779,3443,116255,0.00019378692327148928,0.00011029080831982861
24340,15804,50975,930670,0.001721533746701864,0.0016328997833584848
24420,520,2346,75726,5.664373249082317e-05,7.515022838173625e-05
24500,23,1903,80357,2.505395860171025e-06,6.095945635568802e-05
24540,14072,16752,180936,0.0015328665454055071,0.0005366226026644696
24580,4150,9337,282599,0.00045206055737868493,0.00029909534629167576
24660,15135,37205,643430,0.0016486594062473244,0.0011918006167700329
24780,1953,4879,133798,0.00021274078760495703,0.00015629069235911815
24860,6518,25191,725680,0.0007100074007215105,0.0008069520047588738
25020,49,549,83570,5.3375824847121835e-06,1.7586306641761808e-05
25060,1121,10858,363988,0.00012211081561963995,0.0003478180646926224
25180,347,3765,207828,3.779879841214546e-05,0.00012060554554869437
25220,165,850,100588,1.7973492040357354e-05,2.7228343616571107e-05
25260,16496,20757,129461,0.0017969134830165751,0.0006649161511166664
25420,809,17542,509074,8.812457612514604e-05,0.0005619289455551651
25500,1966,5956,108193,0.0002141568809172276,0.0001907906053885853
25540,1593,117934,1148618,0.00017352589588054098,0.0037778205600902314
25620,211,1935,123812,2.2984283760699402e-05,6.198452340948834e-05
25860,5810,15781,341851,0.0006328847803301589,0.000505518224250716
25940,3751,8720,141615,0.0004085973857174571,0.0002793307721605883
25980,692,4045,71914,7.537973631471083e-05,0.0001295748822694472
26140,46,5742,118085,5.01079172034205e-06,0.00018393546946629562
26300,528,2314,88068,5.7515174529143525e-05,7.412516132793593e-05
26380,611,2865,194477,6.655638567671722e-05,9.177553466056026e-05
26420,457295,897664,4693161,0.04981326086421343,0.02875518099320669
26580,170,3130,362346,1.8518143314307576e-05,0.00010026437119984419
26620,1668,12071,342376,0.00018169566498979432,0.00038667451270074096
26820,3121,4461,104576,0.00033997132519972907,0.0001429007539688514
26900,15328,54883,1658462,0.001669682945421803,0.0017580860973038495
26980,634,7408,131676,6.906178153688825e-05,0.000237303022954775
27060,143,10166,96501,1.5577026434976373e-05,0.00032565098965419044
27100,425,2637,158422,4.6295358285768936e-05,8.447193190223295e-05
27140,1524,7309,525346,0.0001660097083000279,0.00023413172175708026
27180,1249,2721,121909,0.00013605388823276565,8.71627329184588e-05
27260,2037,59836,1122750,0.00022189092900732076,0.0019167472572248808
