outcome,window,pre_window,n_metro,rf_current,rf_current_se,rf_pre,rf_pre_se,iv_pre_coef,iv_pre_se,corr_Z_dXpre
E/POP 18-29,2010-2015,2005-2010,114,8.693844875099607,19.065831425693816,-8.026996270286377,27.421911397631767,-0.21515792313417403,0.7614831228855274,0.2649578674190849
E/POP 18-29,2013-2018,2008-2013,133,-1.69671542621524,0.9943199911427927,2.361556164379616,0.5319846450470646,1.1499394939711083,0.26651507162153454,0.36668735885642423
E/POP 18-29,2018-2023,2013-2018,132,0.2871076727895461,0.9688630828909119,-1.1969941886983773,0.7258578758085866,-0.7753250438232646,0.47722277046235284,0.682499658317674
LFP 18-29,2010-2015,2005-2010,114,8.465503306001365,16.03978174334143,-14.527500346714756,14.762377098162794,-0.3893993092410688,0.4600420591652462,0.2649578674190849
LFP 18-29,2013-2018,2008-2013,133,-1.258983791978102,0.5885933792632076,1.4263026823901706,0.5773662000683011,0.6945258425679919,0.29930692321594515,0.36668735885642423
LFP 18-29,2018-2023,2013-2018,132,-0.27209170778311864,0.6877846893266218,-0.8493905404622946,0.4269259852036219,-0.5501728949270113,0.28104568818953063,0.682499658317674
E/POP 18-29 COLLEGE (control),2010-2015,2005-2010,27,-15.902833725082921,13.063788754844735,-1.2327497696553547,14.184467304038247,-0.024855002041252905,0.27524513943578865,0.7731960179384564
E/POP 18-29 COLLEGE (control),2013-2018,2008-2013,30,-0.6724869682276202,1.4152964713438072,1.6761617367422663,1.1233262940344768,0.7228605936415762,0.4316131888143939,0.6674164021389252
E/POP 18-29 COLLEGE (control),2018-2023,2013-2018,37,0.25408331952734914,0.9179264403469998,-0.37909191665099273,1.0574829371789762,-0.23874600543428315,0.6517139946238724,0.8019157280444816
