min_pop,treatment,sex,outcome,window,length,n_metro,estimator,coef,se,ci_lo,ci_hi,first_stage_F,shea_partial_r2,corr_Zm_Zmlag,corr_Z_Zlag,coef_lag,se_lag
50000,Mexico-born,men,E/POP 18-29,2005-2010,5y,118,OLS,0.5100758300179142,0.4086074122458277,-0.290794697983908,1.3109463580197365,,,,,,
50000,Mexico-born,men,E/POP 18-29,2005-2010,5y,118,IV-single,-1.2953983778013058,1.188071938455712,-3.624019377174501,1.0332226215718894,13.881220159958078,0.3670299508948271,,,,
50000,Mexico-born,men,E/POP 18-29,2005-2010,5y,118,IV-multi,-2.3727824550378482,2.3421782639890774,-6.96345185245644,2.2178869423807432,2.8262987915122157,0.1467155404146122,,,,
50000,Mexico-born,men,E/POP 18-29,2008-2013,5y,141,OLS,0.5071633078219677,0.21171352353348089,0.0922048016963452,0.9221218139475902,,,,,,
50000,Mexico-born,men,E/POP 18-29,2008-2013,5y,141,IV-single,1.2010429972247056,0.48213570697269204,0.25605701155822924,2.146028982891182,29.357779892744983,0.3781488663323739,,,,
50000,Mexico-born,men,E/POP 18-29,2008-2013,5y,141,IV-multi,0.48362992355923495,1.0293163274126478,-1.5338300781695549,2.5010899252880248,1.1220709263268267,0.046301348896732944,,,,
50000,Mexico-born,men,E/POP 18-29,2010-2015,5y,140,OLS,-0.015112879249381983,0.5531940746092688,-1.0993732654835489,1.069147506984785,,,,,,
50000,Mexico-born,men,E/POP 18-29,2010-2015,5y,140,IV-single,0.5258245923098297,0.9206233914531186,-1.2785972549382827,2.330246439557942,62.100230278959536,0.43813194109580134,,,,
50000,Mexico-born,men,E/POP 18-29,2010-2015,5y,140,IV-multi,-0.6063400947987247,6.868386706398903,-14.068378039340574,12.855697849743125,0.4042949283470432,0.007113173772937438,,,,
50000,Mexico-born,men,E/POP 18-29,2010-2015,5y,116,IV-multi-same-sample,1.2150244455002621,9.096366626345318,-16.61385414213656,19.043903033137084,0.2829218472165925,0.005582879447363231,0.7922644658476845,-0.9986928273059726,,
50000,Mexico-born,men,E/POP 18-29,2010-2015,5y,116,IV-JRS,13.768638488472789,246.4502609402363,-469.27387295439036,496.81114993133593,21.54919299931549,4.939115210524205e-05,0.7922644658476845,-0.9986928273059726,-10.043216930927883,180.92371293050124
