cbsa,origin,n2000,natl2000,base_share
10180,afghanistan,0,45200,0.0
10180,"africa, n.e.c.",8,57623,0.00013883345192024018
10180,argentina,22,126475,0.0001739474204388219
10180,armenia,0,65280,0.0
10180,australia,22,60984,0.00036075036075036075
10180,austria,0,63667,0.0
10180,bangladesh,0,95307,0.0
10180,barbados,13,52179,0.0002491423752850764
10180,bolivia,15,53401,0.0002808936162244153
10180,bosnia and herzegovina,0,98766,0.0
10180,brazil,14,212636,6.584021520344627e-05
10180,cambodia,58,136978,0.0004234256595949715
10180,canada,228,821030,0.000277699962242549
10180,chile,4,81640,4.8995590396864285e-05
10180,"china, excluding hong kong and taiwan",66,990048,6.666343450014545e-05
10180,colombia,0,513679,0.0
10180,costa rica,0,72447,0.0
10180,cuba,5,891737,5.607034361027971e-06
10180,czechoslovakia (includes czech republic and slovakia),12,83111,0.00014438521976633658
10180,dominican republic,40,749132,5.339512929630559e-05
10180,ecuador,0,299405,0.0
10180,egypt,6,113474,5.2875548583816554e-05
10180,el salvador,90,817828,0.00011004758946869023
10180,ethiopia,0,69531,0.0
10180,"europe, n.e.c.",0,4411,0.0
10180,france,26,151466,0.00017165568510424782
10180,germany,202,707800,0.0002853913534896863
10180,ghana,0,65572,0.0
10180,greece,16,165770,9.651927369246546e-05
10180,guatemala,50,481211,0.00010390452421079318
10180,guyana,0,211300,0.0
10180,haiti,7,419645,1.6680765885450796e-05
10180,honduras,32,283312,0.0001129496809171514
10180,hong kong,0,203637,0.0
10180,hungary,0,92043,0.0
10180,india,91,1022660,8.89836309232785e-05
10180,indonesia,18,72572,0.00024802954307446396
10180,iran,0,283257,0.0
10180,iraq,0,89892,0.0
10180,ireland,5,156494,3.1950106713356424e-05
10180,israel,54,109817,0.0004917271460702805
10180,italy,9,473755,1.8997160979831348e-05
10180,jamaica,46,553922,8.30441831160344e-05
10180,japan,132,347722,0.00037961359936961134
10180,korea,108,864206,0.0001249702038634307
10180,laos,0,204284,0.0
