year,t_mex1864
2005,2560472.5089
2006,571208.3481000001
2008,646.6844
2009,73043.9373
2010,95884.552
2011,11433.8577
2012,82870.8052
2013,47204.16590000001
2014,29101.1759
2015,75426.545
2016,176168.2726
2017,6868.2667
2018,28544.5136
2019,24510.8426
2022,5109.1355
2023,1374161.9106
