gender,race,par_pctile,cov_n,jail_rate,cell_n,pooled_rate,total_n
male,white,10,5928000.0,0.044909999,32500.0,0.015539607828677462,5928000.0
male,white,25,5928000.0,0.02823,41000.0,0.015539607828677462,5928000.0
male,white,50,5928000.0,0.016100001,63500.0,0.015539607828677462,5928000.0
male,white,75,5928000.0,0.0081390003,75500.0,0.015539607828677462,5928000.0
male,white,90,5928000.0,0.0046100002,79000.0,0.015539607828677462,5928000.0
male,black,10,1008600.0,0.1481,18000.0,0.10333523438746778,1008600.0
male,black,25,1008600.0,0.1107,16500.0,0.10333523438746778,1008600.0
male,black,50,1008600.0,0.072480001,8600.0,0.10333523438746778,1008600.0
male,black,75,1008600.0,0.040649999,5000.0,0.10333523438746778,1008600.0
male,black,90,1008600.0,0.033519998,3800.0,0.10333523438746778,1008600.0
male,hisp,10,1069500.0,0.043140002,18000.0,0.02898337403469846,1069500.0
male,hisp,25,1069500.0,0.030160001,16500.0,0.02898337403469846,1069500.0
male,hisp,50,1069500.0,0.018999999,10500.0,0.02898337403469846,1069500.0
male,hisp,75,1069500.0,0.01107,6200.0,0.02898337403469846,1069500.0
male,hisp,90,1069500.0,0.007212,4400.0,0.02898337403469846,1069500.0
male,asian,10,190400.0,0.0048529999,3500.0,0.006140835600787815,190400.0
male,asian,25,190400.0,0.0093459999,3000.0,0.006140835600787815,190400.0
male,asian,50,190400.0,0.0086749997,2500.0,0.006140835600787815,190400.0
male,asian,75,190400.0,,,0.006140835600787815,190400.0
male,asian,90,190400.0,,,0.006140835600787815,190400.0
male,natam,10,55050.0,0.080969997,950.0,0.05755604885740236,55050.0
male,natam,25,55050.0,0.053569999,900.0,0.05755604885740236,55050.0
male,natam,50,55050.0,0.043000001,700.0,0.05755604885740236,55050.0
male,natam,75,55050.0,0.02675,500.0,0.05755604885740236,55050.0
male,natam,90,55050.0,,,0.05755604885740236,55050.0
female,white,10,5918500.0,0.0067540002,33500.0,0.0023963999103421476,5918500.0
female,white,25,5918500.0,0.0038079999,42000.0,0.0023963999103421476,5918500.0
female,white,50,5918500.0,0.0023769999,63000.0,0.0023963999103421476,5918500.0
female,white,75,5918500.0,0.0010019999,75000.0,0.0023963999103421476,5918500.0
female,white,90,5918500.0,0.00064819999,78500.0,0.0023963999103421476,5918500.0
female,black,10,1107500.0,0.0073009999,22000.0,0.006059105823196388,1107500.0
female,black,25,1107500.0,0.0052939998,20000.0,0.006059105823196388,1107500.0
female,black,50,1107500.0,0.005444,9700.0,0.006059105823196388,1107500.0
female,black,75,1107500.0,0.0023439999,5500.0,0.006059105823196388,1107500.0
female,black,90,1107500.0,,,0.006059105823196388,1107500.0
female,hisp,10,966700.0,0.0035949999,19500.0,0.0027265360459397944,966700.0
female,hisp,25,966700.0,0.002594,17500.0,0.0027265360459397944,966700.0
female,hisp,50,966700.0,0.0023960001,11000.0,0.0027265360459397944,966700.0
female,hisp,75,966700.0,,,0.0027265360459397944,966700.0
female,hisp,90,966700.0,,,0.0027265360459397944,966700.0
female,asian,10,0.0,,,,0.0
female,asian,25,0.0,,,,0.0
female,asian,50,0.0,,,,0.0
female,asian,75,0.0,,,,0.0
female,asian,90,0.0,,,,0.0
female,natam,10,19800.0,0.01859,1000.0,0.01483207070707071,19800.0
female,natam,25,19800.0,,,0.01483207070707071,19800.0
female,natam,50,19800.0,,,0.01483207070707071,19800.0
female,natam,75,19800.0,,,0.01483207070707071,19800.0
female,natam,90,19800.0,,,0.01483207070707071,19800.0
