year,geo,group,pop_under30,total_under30,pct
2010,Texas,Hispanic Mexican,4650868,11325192,41.07
2010,Texas,Other Hispanic,581354,11325192,5.13
2010,Texas,NH white,4063311,11325192,35.88
2010,Texas,NH Black,1364033,11325192,12.04
2010,Texas,NH Asian,404072,11325192,3.57
2010,Texas,Hispanic US-born (any origin),4388083,11325192,38.75
2010,Texas,All Hispanic,5232222,11325192,46.2
2010,California,Hispanic Mexican,6606496,15968208,41.37
2010,California,Other Hispanic,1109542,15968208,6.95
2010,California,NH white,4774110,15968208,29.9
2010,California,NH Black,914154,15968208,5.72
2010,California,NH Asian,1830104,15968208,11.46
2010,California,Hispanic US-born (any origin),6386128,15968208,39.99
2010,California,All Hispanic,7716038,15968208,48.32
2010,Arizona,Hispanic Mexican,999594,2706367,36.93
2010,Arizona,Other Hispanic,93549,2706367,3.46
2010,Arizona,NH white,1207061,2706367,44.6
2010,Arizona,NH Black,120329,2706367,4.45
2010,Arizona,NH Asian,67631,2706367,2.5
2010,Arizona,Hispanic US-born (any origin),933518,2706367,34.49
2010,Arizona,All Hispanic,1093143,2706367,40.39
2010,Florida,Hispanic Mexican,373169,6922744,5.39
2010,Florida,Other Hispanic,1515187,6922744,21.89
2010,Florida,NH white,3248045,6922744,46.92
2010,Florida,NH Black,1386425,6922744,20.03
2010,Florida,NH Asian,173534,6922744,2.51
2010,Florida,Hispanic US-born (any origin),1425529,6922744,20.59
2010,Florida,All Hispanic,1888356,6922744,27.28
2010,US,Hispanic Mexican,18935336,125907871,15.04
2010,US,Other Hispanic,8717435,125907871,6.92
2010,US,NH white,69429841,125907871,55.14
2010,US,NH Black,17482450,125907871,13.89
2010,US,NH Asian,5875572,125907871,4.67
2010,US,Hispanic US-born (any origin),22280187,125907871,17.7
2010,US,All Hispanic,27652771,125907871,21.96
2023,Texas,Hispanic Mexican,4785854,12609155,37.96
2023,Texas,Other Hispanic,1198388,12609155,9.5
2023,Texas,NH white,3866753,12609155,30.67
2023,Texas,NH Black,1539765,12609155,12.21
2023,Texas,NH Asian,612058,12609155,4.85
2023,Texas,Hispanic US-born (any origin),5289263,12609155,41.95
2023,Texas,All Hispanic,5984242,12609155,47.46
2023,California,Hispanic Mexican,6092755,14677822,41.51
2023,California,Other Hispanic,1328344,14677822,9.05
2023,California,NH white,3547805,14677822,24.17
2023,California,NH Black,697413,14677822,4.75
2023,California,NH Asian,1909835,14677822,13.01
2023,California,Hispanic US-born (any origin),6729886,14677822,45.85
2023,California,All Hispanic,7421099,14677822,50.56
2023,Arizona,Hispanic Mexican,1026957,2786198,36.86
2023,Arizona,Other Hispanic,154151,2786198,5.53
2023,Arizona,NH white,1081294,2786198,38.81
2023,Arizona,NH Black,142722,2786198,5.12
2023,Arizona,NH Asian,88458,2786198,3.17
2023,Arizona,Hispanic US-born (any origin),1085584,2786198,38.96
2023,Arizona,All Hispanic,1181108,2786198,42.39
2023,Florida,Hispanic Mexican,396096,7526866,5.26
2023,Florida,Other Hispanic,1997880,7526866,26.54
2023,Florida,NH white,3043609,7526866,40.44
2023,Florida,NH Black,1326636,7526866,17.63
2023,Florida,NH Asian,210070,7526866,2.79
2023,Florida,Hispanic US-born (any origin),1880233,7526866,24.98
2023,Florida,All Hispanic,2393976,7526866,31.81
2023,US,Hispanic Mexican,19298461,124924930,15.45
2023,US,Other Hispanic,12196721,124924930,9.76
2023,US,NH white,60935618,124924930,48.78
2023,US,NH Black,15857749,124924930,12.69
2023,US,NH Asian,6743547,124924930,5.4
2023,US,Hispanic US-born (any origin),27417665,124924930,21.95
2023,US,All Hispanic,31495182,124924930,25.21
