group,n,crude,age_std,implied_TFR_x6,r_15-19,r_20-24,r_25-29,r_30-34,r_35-39,r_40-44,n_15-19,n_20-24,n_25-29,n_30-34,n_35-39,n_40-44
Mexico-born,1039,0.2606,0.2514,1.51,0.047,0.289,0.3,0.403,0.283,0.166,51,79,130,187,266,326
Mexican 2nd gen,1818,0.1682,0.1921,1.15,0.018,0.114,0.258,0.363,0.253,0.121,486,398,291,295,204,144
Mexican 3rd+ gen,1386,0.1845,0.2082,1.25,0.023,0.103,0.294,0.392,0.3,0.109,326,243,231,201,185,200
NH white 3rd+ gen,13506,0.2275,0.2275,1.37,0.008,0.076,0.295,0.441,0.363,0.143,2341,1605,1853,2320,2656,2731
