cohort,0-5,11-20,21+,6-10
1980-89,,,0.38052968320400243,
1990-99,,,0.4454496101718368,
2000-07,,0.47540115131047966,0.47063229138032425,
2008-14,,0.4034795753194117,,0.4096819382979401
2015-19,0.3842132827076037,,,0.38835083441373525
2020-21,0.37217618964053484,,,
2022-24,0.36090025639273543,,,
pre1980,,,0.25273049827736926,
