cohort,0-5,11-20,21+,6-10
1980-89,,,0.5593009099420139,
1990-99,,,0.42753766780015995,
2000-07,,0.3055656552345357,0.3678609054464533,
2008-14,,0.3154863142415054,,0.31468368938839186
2015-19,0.22816601747896958,,,0.2777062279805499
2020-21,0.23600959965092178,,,
2022-24,0.2385180321634734,,,
pre1980,,,0.7122795289761917,
