cohort,0-5,11-20,21+,6-10
1980-89,,0.04908310285789543,0.06515580339634595,
1990-99,,0.04631865368952485,0.06872951191988427,0.048280321795743
2000-07,0.07039576832545547,0.06239813336989,0.07496221790216814,0.05661043196011664
2008-14,0.1401189867443449,0.13579508816700114,,0.12840112111044588
2015-19,0.1890526660669164,,,0.18618687165706108
2020-21,0.22739463549318192,,,
2022-24,0.23814048005489358,,,
pre1980,,,0.0916206102942475,
