leaver_share_L,leaver_stayer_resid_gap_delta,stayer_minus_true_cohort_mean
0.2,0.05,0.010000000000000002
0.2,0.1,0.020000000000000004
0.2,0.2,0.04000000000000001
0.2,0.3,0.06
0.25,0.05,0.0125
0.25,0.1,0.025
0.25,0.2,0.05
0.25,0.3,0.075
0.33,0.05,0.0165
0.33,0.1,0.033
0.33,0.2,0.066
0.33,0.3,0.099
