year,cohort,sex,n,resid_lnw_unadj,se,lo95,hi95
2023,1980-89,men,2057,-0.44413246859356964,0.016853139558317933,-0.4771646221278728,-0.4111003150592665
2023,1990-99,men,5555,-0.5086918432622947,0.010305283552127857,-0.5288901990244652,-0.48849348750012406
2023,2000-07,men,5148,-0.539137562749224,0.010920208916425981,-0.5605411722254189,-0.5177339532730291
2023,2008-14,men,1855,-0.49104520065557267,0.01873045935634354,-0.527756900994006,-0.4543335003171393
2023,2015-19,men,1383,-0.43074380604452595,0.02137808237959288,-0.472644847508528,-0.3888427645805239
2023,2020-21,men,611,-0.5622595112161239,0.030012406301719842,-0.6210838275674948,-0.5034351948647531
2023,2022-24,men,595,-0.5326439733130128,0.03634617485344687,-0.6038824760257687,-0.46140547060025694
2023,pre1980,men,569,-0.30507079924983865,0.034980194304559876,-0.373631980086776,-0.2365096184129013
2023,1980-89,women,1353,-0.3936037982750414,0.019798472986284833,-0.4324088053281597,-0.3547987912219231
2023,1990-99,women,3320,-0.5197834664845687,0.01303294184600697,-0.5453280325027424,-0.49423890046639507
2023,2000-07,women,2723,-0.5677712411589817,0.014517558558403532,-0.5962256559334527,-0.5393168263845107
2023,2008-14,women,958,-0.4840149784144599,0.026422772842739868,-0.53580361318623,-0.43222634364268975
2023,2015-19,women,640,-0.46544792021201453,0.030145726248106477,-0.5245335436583032,-0.40636229676572583
2023,2020-21,women,199,-0.47771105331841807,0.061825176995995906,-0.59888840023057,-0.3565337064062661
2023,2022-24,women,202,-0.45102062538199966,0.06388866461085399,-0.5762424080192735,-0.3257988427447258
2023,pre1980,women,539,-0.3119396655932362,0.03550384728654784,-0.38152720627486997,-0.24235212491160246
2024,1980-89,men,1737,-0.43169159379897554,0.019112199163461407,-0.4691515041593599,-0.39423168343859116
2024,1990-99,men,5150,-0.5167941431076504,0.010815822770889794,-0.5379931557385944,-0.4955951304767064
2024,2000-07,men,4985,-0.555676713181469,0.011503051497491727,-0.5782226941165528,-0.5331307322463853
2024,2008-14,men,1767,-0.47092332837213197,0.019471189816213295,-0.50908686041191,-0.4327597963323539
2024,2015-19,men,1271,-0.4878780889319549,0.024508216491749103,-0.5359141932557832,-0.4398419846081266
2024,2020-21,men,565,-0.5563622570200463,0.035570629591638585,-0.6260806910196579,-0.48664382302043463
2024,2022-24,men,1106,-0.5360207314270364,0.02679406886967309,-0.5885371064115957,-0.4835043564424772
2024,pre1980,men,542,-0.34053567103890564,0.036733428147221886,-0.41253319020746054,-0.26853815187035074
2024,1980-89,women,1210,-0.4199775706355311,0.02373852408523494,-0.4665050778425916,-0.3734500634284706
2024,1990-99,women,3253,-0.4867208811312066,0.013507769648052243,-0.513196109641389,-0.4602456526210242
2024,2000-07,women,2751,-0.5444922064520797,0.014590586912875627,-0.573089756801316,-0.5158946561028435
2024,2008-14,women,945,-0.4677488261950756,0.026269756568109832,-0.5192375490685709,-0.4162601033215803
2024,2015-19,women,608,-0.5765607310008143,0.031653628535195426,-0.6386018429297973,-0.5145196190718313
2024,2020-21,women,245,-0.42163296966083885,0.048935542819955796,-0.5175466335879522,-0.3257193057337255
2024,2022-24,women,380,-0.4339873869247665,0.04283924741687651,-0.5179523118618444,-0.35002246198768855
2024,pre1980,women,455,-0.26892000805665084,0.036270752528900045,-0.34001068301329496,-0.19782933310000675
