POBP,birthplace,share
303,Mexico,0.1430591101854459
210,India,0.1010121797867325
327,Cuba,0.0636405977761341
373,Venezuela,0.062914628019802
364,Colombia,0.0406452800876424
207,China,0.0338247748849022
332,Haiti,0.0336911861340034
314,Honduras,0.0280794270228895
362,Brazil,0.0280479640352261
233,Philippines,0.0272616472369823
313,Guatemala,0.0263615994751354
315,Nicaragua,0.0250143646591217
329,Dominican Republic,0.0193236901855078
312,El Salvador,0.0186394991504993
164,Ukraine,0.0177943826703927
