survey_year,arrival_window,fb_arrivals_25_54_wgt,mexico_born_wgt,mexico_share,n_unweighted
2023,2015-19,3903766,500658,0.1282500026897104,30960
2023,2020-21,1244933,203179,0.16320476684287427,9455
2023,2022-24,1640818,227475,0.1386351198000022,13122
2023,2021-24,2449699,349056,0.1424893425682094,19302
2024,2015-19,3978121,482951,0.12140178742677761,29859
2024,2020-21,1337202,209556,0.1567122992636864,9403
2024,2022-24,3001061,435877,0.14524096644486734,21800
2024,2021-24,3877572,554722,0.14305911018544595,27986
