year,cohort,sex,n,mean_ysm,resid_lnw,se,lo95,hi95,mean_lnw
2023,1980-89,men,2057,37.23000097327973,-0.1395755543001027,0.01594517764305956,-0.17082810248049946,-0.10832300611970598,10.878408158804591
2023,1990-99,men,5555,28.023672719219963,-0.1824155148265728,0.009756564928343574,-0.2015383820861262,-0.16329264756701942,10.768079654250148
2023,2000-07,men,5148,20.260859588241452,-0.21269952274731946,0.010461192639798302,-0.23320346032132414,-0.19219558517331478,10.69306542063366
2023,2008-14,men,1855,12.164335651186317,-0.22464557928419132,0.017375802597698966,-0.2587021523756813,-0.19058900619270136,10.692720156497135
2023,2015-19,men,1383,6.027168965390222,-0.20038107902453772,0.019926217147660165,-0.23943646463395163,-0.16132569341512382,10.711045070379708
2023,2020-21,men,611,2.39275473959002,-0.3324755310229386,0.027118147817409868,-0.3856271007450619,-0.27932396130081527,10.562464494508033
2023,2022-24,men,595,0.6695298560106229,-0.36102739712440457,0.033237145109234534,-0.42617220153850427,-0.29588259271030487,10.597482214298314
2023,pre1980,men,569,47.30048631844625,-0.09746890054213213,0.03174203492170201,-0.15968328898866807,-0.03525451209559619,11.050252489472408
2023,1980-89,women,1353,37.298949934370896,-0.10142163203515574,0.018258152453684166,-0.13720761084437672,-0.06563565322593477,10.657023444687711
2023,1990-99,women,3320,28.16952991432176,-0.17874230971615865,0.01197103462945519,-0.20220553758989082,-0.15527908184242648,10.498476255899131
2023,2000-07,women,2723,20.428396136905572,-0.20913068821892433,0.013352730774591,-0.2353020405371227,-0.18295933590072597,10.42759521132932
2023,2008-14,women,958,12.165210006431293,-0.22094348446914713,0.02562067000078799,-0.2711599976706916,-0.17072697126760267,10.496859178503065
2023,2015-19,women,640,6.060295069073565,-0.23083092979703887,0.02689956854940218,-0.2835540841538671,-0.17810777544021061,10.499078019739464
2023,2020-21,women,199,2.316604314256149,-0.26437182923387126,0.05996559420651067,-0.3819043938786322,-0.14683926458911034,10.46774612647206
2023,2022-24,women,202,0.6978299885788872,-0.2702835898466743,0.06176888121989156,-0.39135059703766173,-0.14921658265568682,10.49583537418455
2023,pre1980,women,539,47.517425804872936,-0.1324039796274779,0.0325520669195567,-0.19620603078980903,-0.06860192846514677,10.747763856199972
2024,1980-89,men,1737,38.1617140129753,-0.12345305796049953,0.018196497540478706,-0.1591181931398378,-0.08778792278116127,10.939607920077025
2024,1990-99,men,5150,29.016738831468174,-0.18125718177052108,0.01035069056980372,-0.20154453528733637,-0.1609698282537058,10.807986040995152
2024,2000-07,men,4985,21.325250823705996,-0.21905656253107259,0.010851009326981916,-0.24032454081195714,-0.19778858425018803,10.714968461214944
2024,2008-14,men,1767,13.160746104412324,-0.20815755726669263,0.017569907152374328,-0.2425945752853463,-0.17372053924803896,10.76022124840674
2024,2015-19,men,1271,6.987562652862016,-0.27618342656147576,0.022661960440191656,-0.3206008690242514,-0.2317659840987001,10.715498266029076
2024,2020-21,men,565,3.4304414259417446,-0.33251338117998386,0.03228226735143108,-0.39578662518878877,-0.26924013717117895,10.62606300918051
2024,2022-24,men,1106,1.265189537950124,-0.34823215689011,0.02543161587266705,-0.39807812400053744,-0.29838618977968256,10.641195335663147
2024,pre1980,men,542,48.38186573670445,-0.10530734273883402,0.03646965871372979,-0.1767878738177444,-0.03382681165992363,11.055529957936274
2024,1980-89,women,1210,38.40821661601241,-0.14158116371485968,0.021739039775140998,-0.18418968167413605,-0.09897264575558332,10.682638668301498
2024,1990-99,women,3253,28.96358363179584,-0.15259313529167404,0.012419276981015782,-0.17693491817446497,-0.1282513524088831,10.579824989618809
2024,2000-07,women,2751,21.34927972730032,-0.195587204886742,0.013346864315202543,-0.22174705894453897,-0.16942735082894503,10.496393051442954
2024,2008-14,women,945,13.253015423279788,-0.19524996802619998,0.023375164747029383,-0.24106529093037757,-0.1494346451220224,10.56297154607367
2024,2015-19,women,608,7.073084601802592,-0.29581273833471183,0.030050454828761734,-0.3547116297990848,-0.23691384687033884,10.441683967078015
2024,2020-21,women,245,3.4169376870040327,-0.19742925904870695,0.04179746801235385,-0.27935229635292047,-0.1155062217444934,10.579533122582438
2024,2022-24,women,380,1.2830355297521747,-0.2068589506272708,0.03963215022959721,-0.28453796507728135,-0.12917993617726028,10.557892862730638
2024,pre1980,women,455,48.14916497451411,-0.04657061932073015,0.0320660767702138,-0.10942012979034921,0.016278891148888898,10.843542125614041
