age_band,pop,n_unspecified,mean_years,sh_lths,sh_ba_plus,sh_upper_secondary,sh_short_cycle,age_lo,age_hi,born_lo,born_hi,n_stock_2019,wpop_stock_2019,sh_lths_stock_2019,sh_ba_stock_2019,n_recent_2019,wpop_recent_2019,sh_lths_recent_2019,sh_ba_recent_2019,n_stock_2021,wpop_stock_2021,sh_lths_stock_2021,sh_ba_stock_2021,n_recent_2021,wpop_recent_2021,sh_lths_recent_2021,sh_ba_recent_2021,lths_recent2019_minus_mx,ba_recent2019_minus_mx,lths_stock2019_minus_mx,ba_stock2019_minus_mx
25-29 años,9993001,19433,11.489182,0.45031788022100017,0.22871905019347138,0.30710193182620305,0.013861137759325449,25,29,1991,1995,5308,790525,0.28490433572625784,0.13106479870971824,1033,157413,0.36153303729679254,0.20340124386168867,5354,704678,0.26018550316598504,0.13443587000019866,994,129276,0.3873418113184195,0.19533401404746434,-0.08878484292420763,-0.02531780633178271,-0.16541354449474233,-0.09765425148375315
30-34 años,9420827,17252,11.145202,0.49453362152160213,0.22465222003333837,0.2657981671864158,0.015015991258643654,30,34,1986,1990,7341,1099506,0.4093320091022696,0.1009808041065715,796,121731,0.4046134509697612,0.2274030444176093,7147,954619,0.35298899351469015,0.11945079660052858,925,115507,0.37759616300310805,0.21567524046161704,-0.08992017055184093,0.0027508243842709335,-0.08520161241933255,-0.12367141592676688
35-39 años,9020276,16672,10.599422,0.5537955689743796,0.20411892837579262,0.22615765864424958,0.01592784400557821,35,39,1981,1985,8765,1329997,0.48272063771572415,0.08162950743497918,612,99052,0.419133384484917,0.185003836368776,9203,1272124,0.45336775345799624,0.09624690674808431,723,96346,0.3724077802918647,0.24202354015734956,-0.13466218448946266,-0.019115092007016637,-0.0710749312586555,-0.12248942094081344
40-44 años,8503586,15199,10.024425,0.6085303368001482,0.17531728937429455,0.19867072507415132,0.01748164875140589,40,44,1976,1980,9535,1415487,0.5203233939979668,0.07700671217750499,469,68481,0.5189906689446708,0.1854821045253428,9962,1376037,0.5174584695033636,0.08421939235645554,504,65907,0.48176976648914377,0.18300028828500767,-0.0895396678554774,0.010164815151048251,-0.08820694280218144,-0.09831057719678957
45-49 años,7942413,11795,9.729685,0.6338198359825173,0.15608266594104014,0.18903255710967293,0.02106494096676955,45,49,1971,1975,10005,1397727,0.520963678887222,0.0783450559372467,343,47428,0.5070211689297461,0.15796575862359788,10881,1401896,0.5174791853318649,0.0909639516768719,340,40888,0.46749657601252204,0.2400704363138329,-0.1267986670527712,0.0018830926825577354,-0.1128561570952954,-0.07773761000379345
50-54 años,7037532,6038,9.327376,0.6471394272682306,0.14803056078836163,0.18279131006867103,0.02203870187473672,50,54,1966,1970,9258,1193144,0.5269087385931622,0.07301130458687301,233,32176,0.5284684236698161,0.09634510193933367,10181,1233083,0.5207127176353903,0.0796345420381272,256,30464,0.49051339285714285,0.20778623949579833,-0.11867100359841454,-0.05168545884902796,-0.12023068867506836,-0.07501925620148862
