year,cohort,n,wgt,mean_ysm,mean_age,sh_lths,sh_hs,sh_somecoll,sh_ba_plus,emp_rate
1990,1980-89,44580,930571.0,6.7106754884904,32.28939006266045,0.6879571789793578,0.18042900541710413,0.08717335915260631,0.04444045645093174,0.670869820787452
2000,1980-89,95795,2001619.0,15.184231364710268,35.456127764574575,0.6293725229426779,0.2659367242217425,0.06674247196894115,0.037948280866638456,0.5835346287180527
2010,1980-89,15549,1869217.0,25.110382047670228,41.45510285857661,0.5179521692772964,0.3098265209443312,0.11899260492494985,0.053228704853422584,0.7328474971070774
2023,1980-89,5989,724054.0,37.20881591704486,46.47769641490828,0.33055959914592004,0.41386001596566,0.15091415833625668,0.10466622655216323,0.7979280550898138
2000,1990-99,91459,1943376.0,5.779811009295165,32.676567478449876,0.6201213764088884,0.2737658590000082,0.055581112455850026,0.05053165213525329,0.555814211969274
2010,1990-99,21435,2797622.0,15.348105998594521,36.72500573701522,0.5531126077790351,0.3141918386401022,0.08656351715850104,0.046132036422361564,0.6877848401249347
2023,1990-99,16466,2104849.0,28.05154098940114,43.367905726253994,0.39384915497501244,0.40512597340711853,0.11920047471338799,0.08182439690448104,0.770448141410619
2000,2000-07,3972,83344.0,0.0,33.39098195430985,0.6611513726243041,0.23694567095411787,0.04469427913227107,0.05720867728930697,0.5826094259934729
2010,2000-07,14542,2071434.0,7.30813774419074,33.7804554719098,0.5462843614616734,0.32294294677020846,0.07209401796050466,0.05867867380761347,0.6674955610461158
2023,2000-07,15429,2102134.0,20.270115986897125,40.15470707385923,0.41795480212013125,0.4048752363074856,0.09693007201253584,0.08023988955984727,0.7437865521417759
2010,2008-14,1792,257661.0,1.261343393062978,34.939944345477194,0.5141794838955062,0.30076728724952556,0.07241685780929205,0.1126363710456763,0.5927750028137747
2023,2008-14,5524,732999.0,12.150764189309944,37.634827605494685,0.349861323139595,0.3957126817362643,0.10409427570842525,0.15033171941571544,0.7317049545770186
2023,2015-19,3923,510538.0,6.064825732854361,36.40174482604625,0.34926097567663916,0.365490913506928,0.09806909573822124,0.1871790150782116,0.7304627667284316
2023,2020-24,3378,439516.0,1.4709862667115645,35.24708770556703,0.3286911056707833,0.34874725834781894,0.09668589994448439,0.22587573603691333,0.7332679583905933
1980,pre1980,52379,1047580.0,15.039328738616621,35.738482979820155,0.7639512018175223,0.13507321636533726,0.0680043528895168,0.032971228927623664,0.6589854712766566
1990,pre1980,72349,1486522.0,21.809685292245927,37.547184636352505,0.6627833291401002,0.18711529328190232,0.11448131948265818,0.03562005809533932,0.6979452709075278
2000,pre1980,75543,1549110.0,27.365197435947092,41.64172912188289,0.5659423798180891,0.275870661218377,0.10838416897444339,0.04980278998909051,0.6318795953805734
2010,pre1980,7865,886414.0,36.18453566843484,45.96913067708768,0.4213471357627474,0.32394005509840773,0.17118073496131606,0.08353207417752878,0.7269706931524096
2023,pre1980,1880,204720.0,47.51802950371239,50.25144587729582,0.194836850332161,0.4390582258694803,0.18811547479484172,0.177989449003517,0.7697538100820633
