age_band,pop,n_unspecified,mean_years,sh_lths,sh_ba_plus,sh_upper_secondary,sh_short_cycle,age_lo,age_hi,born_lo,born_hi
25-29 años,9993001,19433,11.489182,0.45031788022100017,0.22871905019347138,0.30710193182620305,0.013861137759325449,25,29,1991,1995
30-34 años,9420827,17252,11.145202,0.49453362152160213,0.22465222003333837,0.2657981671864158,0.015015991258643654,30,34,1986,1990
35-39 años,9020276,16672,10.599422,0.5537955689743796,0.20411892837579262,0.22615765864424958,0.01592784400557821,35,39,1981,1985
40-44 años,8503586,15199,10.024425,0.6085303368001482,0.17531728937429455,0.19867072507415132,0.01748164875140589,40,44,1976,1980
45-49 años,7942413,11795,9.729685,0.6338198359825173,0.15608266594104014,0.18903255710967293,0.02106494096676955,45,49,1971,1975
50-54 años,7037532,6038,9.327376,0.6471394272682306,0.14803056078836163,0.18279131006867103,0.02203870187473672,50,54,1966,1970
