worker_def,max_ysm,survey_year,arrival_window,n,wgt_pop,mean_age,mean_ysm,emp_rate,sh_lths,sh_hs,sh_somecoll,sh_ba_plus,n_workers,resid_uncond,se_uncond,lo95_uncond,hi95_uncond,resid_cond_edu,se_cond,lo95_cond,hi95_cond
ftfy,3,1990,1987-1990,11879,244890.0,32.65266037812896,3.0,0.5981011882886194,0.6661725672751031,0.17865163951161747,0.09100412430070644,0.06417166891257299,3268.0,-0.6879132795617147,0.011656218002541003,-0.710759466846695,-0.6650670922767343,-0.4504552340686053,0.011119534816947435,-0.4722495223098223,-0.42866094582738834
ftfy,3,2000,1997-2000,29278,626575.0,32.98929417866975,1.6225176555081195,0.589739456569445,0.6188309460160396,0.2629006902605434,0.05289390735346926,0.06537445636994774,10316.0,-0.6170003751915567,0.006967069830916714,-0.6306558320601534,-0.60334491832296,-0.3635728366463088,0.006703589696462849,-0.376711872451376,-0.3504338008412416
ftfy,3,2010,2007-2010,2763,405933.0,34.565088327384075,1.8964090133100782,0.6252435746785799,0.5145479672753878,0.3031534760662474,0.07281989885030288,0.10947865780806192,,,,,,,,,
ftfy,3,2023,2020-2023,3378,439516.0,35.24708770556703,1.4709862667115645,0.7332679583905933,0.3286911056707833,0.34874725834781894,0.09668589994448439,0.22587573603691333,1898.0,-0.4888727268897424,0.0206296128719197,-0.529306768118705,-0.4484386856607798,-0.27553530038538315,0.01963707457770821,-0.31402396655769127,-0.23704663421307506
ftfy,5,1980,1975-1980,11972,239440.0,33.05287337119947,5.0,0.6414968259271634,0.8245071834279987,0.09363514868025392,0.04794520547945205,0.033912462412295355,4659.0,-0.6097838582319764,0.011084015385131414,-0.631508528386834,-0.5880591880771189,-0.40446230314515,0.010909048146095668,-0.4258440375114975,-0.38308056877880253
ftfy,5,1990,1985-1990,21193,437132.0,32.358971660734056,3.879560407382667,0.6346275266967415,0.6637308639038094,0.18504021668512027,0.09274315309792008,0.058485766313150264,7101.0,-0.6675869736542676,0.007584228638443017,-0.6824520617856159,-0.6527218855229192,-0.42697911406643635,0.007263797818953397,-0.441216157791585,-0.4127420703412877
ftfy,5,2000,1995-2000,46781,1000728.0,32.966108672886136,2.728281810841707,0.5773556850612754,0.6145026420765682,0.2681417927748599,0.05556954537096993,0.061786019777601904,18222.0,-0.610306823795303,0.0051261327722649744,-0.6203540440289423,-0.6002596035616636,-0.3570822902396857,0.004929811724338089,-0.36674472121938834,-0.34741985925998303
ftfy,5,2010,2005-2010,5567,820506.0,34.06804703439097,3.2652716738207888,0.652270671999961,0.5173429566633273,0.3179550180010871,0.07367404991553993,0.09102797542004568,,,,,,,,,
ftfy,5,2023,2018-2023,4913,640291.0,35.493219489263474,2.426548241346513,0.7337413769676601,0.33253317632139134,0.35718759126709576,0.09323729366803532,0.21704193874347757,2894.0,-0.4721856348116808,0.016617315902798403,-0.5047555739811657,-0.43961569564219594,-0.2500244808253134,0.015725788044729183,-0.2808470253929826,-0.21920193625764423
emp,3,1990,1987-1990,11879,244890.0,32.65266037812896,3.0,0.5981011882886194,0.6661725672751031,0.17865163951161747,0.09100412430070644,0.06417166891257299,6005.0,-0.9617311454110042,0.013369031770862976,-0.9879344476818956,-0.9355278431401128,-0.6637874893925355,0.0132211479763154,-0.6897009394261137,-0.6378740393589574
