cohort,obs,year,n,mean_ysm,mean_age,crude_lths,crude_hs,crude_somecoll,crude_ba_plus,agestd_lths,agestd_hs,agestd_somecoll,agestd_ba_plus
pre1980,first,1980,52379,15.039328738616621,35.738482979820155,0.7639512018175223,0.13507321636533726,0.0680043528895168,0.032971228927623664,0.7665068837245621,0.13364216119195638,0.06708359534992231,0.03276735973355927
pre1980,plus10,1990,72349,21.809685292245927,37.547184636352505,0.6627833291401002,0.18711529328190232,0.11448131948265818,0.03562005809533932,0.648445041533359,0.19571348921279083,0.11983325479799889,0.03600821445585128
1980-89,first,1990,44580,6.7106754884904,32.28939006266045,0.6879571789793578,0.18042900541710413,0.08717335915260631,0.04444045645093174,0.7197096045076076,0.15782547323796042,0.0767275190877236,0.0457374031667084
1980-89,plus10,2000,95795,15.184231364710268,35.456127764574575,0.6293725229426779,0.2659367242217425,0.06674247196894115,0.037948280866638456,0.6329970331259798,0.2618521138978137,0.06631838083602994,0.03883247214017669
1990-99,first,2000,91459,5.779811009295165,32.676567478449876,0.6201213764088884,0.2737658590000082,0.055581112455850026,0.05053165213525329,0.639122904329269,0.2506056604905193,0.055627253482660594,0.0546441816975511
1990-99,plus10,2010,21435,15.348105998594521,36.72500573701522,0.5531126077790351,0.3141918386401022,0.08656351715850104,0.046132036422361564,0.5428043120515812,0.3176370176004218,0.09203863245434976,0.047520037893647234
2000-07,first,2010,14542,7.30813774419074,33.7804554719098,0.5462843614616734,0.32294294677020846,0.07209401796050466,0.05867867380761347,0.5541090467340842,0.31032096559376166,0.07178593484675865,0.06378405282539547
2008-14,first,2010,1792,1.261343393062978,34.939944345477194,0.5141794838955062,0.30076728724952556,0.07241685780929205,0.1126363710456763,0.5167743720622942,0.2988544839236136,0.0719477377515336,0.11242340626255856
2015-19,first,2023,3923,6.064825732854361,36.40174482604625,0.34926097567663916,0.365490913506928,0.09806909573822124,0.1871790150782116,0.3480297119308784,0.36621188116242775,0.09860874437116389,0.18714966253552998
2020-24,first,2023,3378,1.4709862667115645,35.24708770556703,0.3286911056707833,0.34874725834781894,0.09668589994448439,0.22587573603691333,0.3347266482495967,0.3447633015876474,0.09506618806835582,0.22544386209440007
