cohort,ysm_band,n,years,resid_lninc,se,lo95,hi95
1980-89,0-5,7101,[1990],-0.42697911406643635,0.007263797818953397,-0.441216157791585,-0.4127420703412877
1980-89,6-10,11007,[1990],-0.30481407768901275,0.005857082632870167,-0.3162939596494383,-0.2933341957285872
1980-89,11-20,49616,[2000],-0.19268679867930083,0.0030319761512003587,-0.19862947193565353,-0.18674412542294813
1980-89,21+,4226,[2023],-0.13471256686077082,0.013399967875964596,-0.16097650389766144,-0.1084486298238802
1990-99,0-5,17345,[2000],-0.3573834856011121,0.005044299794502718,-0.3672703131983374,-0.3474966580038868
1990-99,6-10,21681,[2000],-0.2902365241855388,0.004410223034292321,-0.29888056133275176,-0.28159248703832584
1990-99,21+,11098,[2023],-0.18803503476069308,0.008631181851369633,-0.20495215118937757,-0.1711179183320086
2000-07,0-5,877,[2000],-0.3509582249803342,0.023243822726765527,-0.3965161175247946,-0.3054003324358738
2000-07,11-20,4967,[2023],-0.24059151275946813,0.013293564488166426,-0.2666468991562743,-0.21453612636266195
2000-07,21+,5009,[2023],-0.20667718842113125,0.012696439461513498,-0.23156220976569772,-0.1817921670765648
2008-14,6-10,964,[2023],-0.20531396220824513,0.02825429038595822,-0.26069237136472323,-0.14993555305176703
2008-14,11-20,2510,[2023],-0.23700127038310448,0.018705089856913618,-0.27366324650265517,-0.2003392942635538
2015-19,0-5,996,[2023],-0.2003268652822857,0.026095607791127684,-0.25147425655289596,-0.14917947401167542
2015-19,6-10,1465,[2023],-0.21898064396663047,0.025178764649203475,-0.2683310226790693,-0.16963026525419167
2020-24,0-5,1898,[2023],-0.27553530038538315,0.01963707457770821,-0.31402396655769127,-0.23704663421307506
pre1980,0-5,4659,[1980],-0.40446230314515,0.010909048146095668,-0.4258440375114975,-0.38308056877880253
pre1980,6-10,6882,[1980],-0.23569772374273654,0.008909866330275037,-0.25316106175007563,-0.21823438573539747
pre1980,11-20,31052,"[1980, 1990]",-0.14358684641723637,0.0038227742326327834,-0.15107948391319664,-0.1360942089212761
pre1980,21+,61535,"[1980, 1990, 2000, 2023]",-0.09255530519910689,0.00353096774441244,-0.09947600197815527,-0.0856346084200585
