Citizenship,encounters,share,fiscal_year
MEXICO,717333.0,0.289753193985141,2023
VENEZUELA,266071.0,0.10747438369184249,2023
GUATEMALA,220085.0,0.08889920259937818,2023
HONDURAS,213686.0,0.08631444672127009,2023
OTHER,172517.0,0.06968500231654555,2023
COLOMBIA,159536.0,0.06444157114703136,2023
CUBA,142352.0,0.057500417058984864,2023
ECUADOR,116229.0,0.04694852179350309,2023
NICARAGUA,99496.0,0.040189540685770186,2023
HAITI,76130.0,0.030751283794400626,2023
PERU,75719.0,0.030585268062895323,2023
EL SALVADOR,61515.0,0.024847829011067312,2023
