survey_year,arrival_window,n,migrant_mean_years_at_entry,inegi_15plus_mean_years,inegi_reference_year,migrant_minus_origin
1980,1975-1980,10885,7.119522278364722,,,
1990,1985-1990,18510,8.963115719392642,,,
2000,1995-2000,42265,9.552458464239768,7.5,2000.0,2.052458464239768
2010,2005-2010,5261,10.117926901232307,8.6,2010.0,1.5179269012323076
2023,2018-2023,4553,11.921928812666492,9.7,2020.0,2.2219288126664924
