fips,name,median_real_estate_tax,median_home_value,property_tax_effective_rate,median_gross_rent_monthly,combined_sales_tax_rate,per_pupil_current_spending,national_per_pupil_current_spending
1,Alabama,786.0,216600.0,0.0036288088642659278,982.0,0.09289,13626.861804766544,17619.38902753898
2,Alaska,3718.0,347500.0,0.010699280575539568,1373.0,0.01821,21003.794488086984,17619.38902753898
4,Arizona,1811.0,411200.0,0.0044041828793774315,1608.0,0.08378999999999999,12002.95847623783,17619.38902753898
5,Arkansas,1038.0,195700.0,0.005304036791006643,933.0,0.09448000000000001,13872.571401134037,17619.38902753898
6,California,5114.0,725800.0,0.007046018186828327,1992.0,0.08851,20790.840050699007,17619.38902753898
8,Colorado,2604.0,550300.0,0.004731964383063784,1771.0,0.07807,15907.945283658219,17619.38902753898
9,Connecticut,6388.0,367800.0,0.017368134855899945,1463.0,0.0635,26315.571054409018,17619.38902753898
10,Delaware,1715.0,359700.0,0.004767862107311649,1358.0,0.0,22201.218869790024,17619.38902753898
11,District of Columbia,4525.0,715500.0,0.006324248777078966,1904.0,0.06,31529.357383111394,17619.38902753898
12,Florida,2793.0,381000.0,0.007330708661417323,1719.0,0.07002,12692.607528442939,17619.38902753898
13,Georgia,2383.0,323000.0,0.007377708978328173,1400.0,0.07384,15832.58588869086,17619.38902753898
15,Hawaii,2283.0,846400.0,0.0026973062381852554,1940.0,0.045,23878.192406738017,17619.38902753898
16,Idaho,2101.0,428600.0,0.004902006532897807,1256.0,0.06026,11060.401134096399,17619.38902753898
17,Illinois,5089.0,263300.0,0.019327763007975694,1238.0,0.08855,21776.436955791647,17619.38902753898
18,Indiana,1647.0,225900.0,0.0072908366533864545,1044.0,0.07,13622.208618050034,17619.38902753898
19,Iowa,2827.0,213300.0,0.013253633380215658,949.0,0.06941,14368.949683577952,17619.38902753898
20,Kansas,2746.0,219800.0,0.012493175614194723,1036.0,0.08654,15558.014751024608,17619.38902753898
21,Kentucky,1524.0,211800.0,0.007195467422096318,929.0,0.06,14595.645822003054,17619.38902753898
22,Louisiana,1168.0,215600.0,0.005417439703153989,1020.0,0.09563,15580.647266187621,17619.38902753898
23,Maine,2886.0,310700.0,0.009288702928870293,1189.0,0.055,19961.604337451867,17619.38902753898
24,Maryland,3936.0,413600.0,0.009516441005802708,1651.0,0.06,20208.056844338946,17619.38902753898
25,Massachusetts,5821.0,570800.0,0.010197967764540995,1757.0,0.0625,24428.910537631913,17619.38902753898
26,Michigan,2845.0,236100.0,0.012049978822532824,1101.0,0.06,18313.728212184436,17619.38902753898
27,Minnesota,3321.0,328600.0,0.010106512477175898,1264.0,0.08038000000000001,17097.981997549126,17619.38902753898
28,Mississippi,1177.0,169800.0,0.00693168433451119,898.0,0.07062,12324.385082393756,17619.38902753898
29,Missouri,1907.0,233600.0,0.008163527397260274,1019.0,0.08385,14240.516731236881,17619.38902753898
30,Montana,2658.0,392300.0,0.006775426969156258,1083.0,0.0,13655.63296604832,17619.38902753898
31,Nebraska,3523.0,245200.0,0.014367862969004894,1042.0,0.06968,16147.478470296306,17619.38902753898
32,Nevada,2037.0,441100.0,0.004618000453411925,1622.0,0.08236,14811.655336619766,17619.38902753898
33,New Hampshire,6285.0,415400.0,0.015129995185363504,1517.0,0.0,22978.148088917318,17619.38902753898
34,New Jersey,9163.0,461000.0,0.0198763557483731,1667.0,0.06601,27233.558950002527,17619.38902753898
35,New Mexico,1709.0,256300.0,0.00666796722590714,1084.0,0.07617,17663.778976094614,17619.38902753898
36,New York,6325.0,420200.0,0.015052356020942409,1561.0,0.08532000000000001,31917.506422874667,17619.38902753898
37,North Carolina,1880.0,308600.0,0.00609202851587816,1245.0,0.06996000000000001,12995.157780195865,17619.38902753898
38,North Dakota,2455.0,246700.0,0.009951357924604783,916.0,0.07041,17102.456812529406,17619.38902753898
39,Ohio,2754.0,220200.0,0.012506811989100818,1014.0,0.07238,17256.78772800193,17619.38902753898
40,Oklahoma,1593.0,208600.0,0.007636625119846596,1020.0,0.08989000000000001,12161.561911413197,17619.38902753898
41,Oregon,3750.0,484800.0,0.007735148514851485,1481.0,0.0,18083.023453149595,17619.38902753898
42,Pennsylvania,3151.0,259900.0,0.012123893805309734,1197.0,0.06341000000000001,21090.529278419635,17619.38902753898
44,Rhode Island,4644.0,411800.0,0.011277319086935406,1365.0,0.07,22110.47425651775,17619.38902753898
45,South Carolina,1236.0,272900.0,0.004529131550018322,1170.0,0.07499,15060.061166387202,17619.38902753898
46,South Dakota,2712.0,268200.0,0.01011185682326622,921.0,0.06111,12828.468033775634,17619.38902753898
47,Tennessee,1420.0,307300.0,0.004620891636836967,1214.0,0.09548,12881.71029948282,17619.38902753898
48,Texas,4274.0,296900.0,0.01439541933310879,1413.0,0.08199999999999999,12894.849672466036,17619.38902753898
49,Utah,2585.0,517700.0,0.004993239327796021,1551.0,0.07249,11347.104307255837,17619.38902753898
50,Vermont,4851.0,332000.0,0.01461144578313253,1202.0,0.06359,28818.337312037012,17619.38902753898
51,Virginia,2754.0,382900.0,0.007192478453904414,1567.0,0.05771,17104.335495453983,17619.38902753898
53,Washington,4478.0,576000.0,0.007774305555555555,1731.0,0.09378,18564.368321914342,17619.38902753898
54,West Virginia,843.0,163700.0,0.0051496640195479535,850.0,0.06567,15639.854294541372,17619.38902753898
55,Wisconsin,3582.0,272500.0,0.013144954128440366,1071.0,0.05696,15952.20442092907,17619.38902753898
56,Wyoming,1793.0,298700.0,0.006002678272514228,1000.0,0.05441,20520.928592677472,17619.38902753898
