allocation,weighting,group,metric,n_adults_unweighted,weighted_adults,estimate,se_sdr,difference_from_third_plus_nh_white,se_sdr_difference
equal_all_members,person,third_plus_nh_white,modeled_tax_total,36287,87647853.34583464,14383.315562099571,237.54421674441295,0.0,0.0
equal_all_members,person,third_plus_nh_white,selected_cash_total,36287,87647853.34583464,2453.3193668505855,48.06680457289511,0.0,0.0
equal_all_members,person,third_plus_nh_white,selected_noncash_total,36287,87647853.34583464,145.33449477843425,4.223249838962086,0.0,0.0
equal_all_members,person,third_plus_nh_white,cash_noncash_tax_balance,36287,87647853.34583464,11784.661700470548,250.00037788263788,0.0,0.0
equal_all_members,person,third_plus_nh_white,employer_payroll,36287,87647853.34583464,3488.823409575924,27.5932451187669,0.0,0.0
equal_all_members,person,third_plus_nh_white,sales_tax_share25,36287,87647853.34583464,749.8070537442807,7.488152427084388,0.0,0.0
equal_all_members,person,third_plus_nh_white,sales_tax_share35,36287,87647853.34583464,1049.7298752419933,10.483413397918133,0.0,0.0
equal_all_members,person,third_plus_nh_white,sales_tax_share45,36287,87647853.34583464,1349.6526967397058,13.478674368751902,0.0,0.0
equal_all_members,person,third_plus_nh_white,sales_tax_itep,36287,87647853.34583464,1812.480943110831,12.441644036504737,0.0,0.0
equal_all_members,person,third_plus_nh_white,property_tax_owner,36287,87647853.34583464,1312.755842800073,16.3065121544571,0.0,0.0
equal_all_members,person,third_plus_nh_white,property_tax_renter_proxy,36287,87647853.34583464,304.2653454839655,5.644884724142745,0.0,0.0
equal_all_members,person,third_plus_nh_white,property_tax_owner_plus_renter,36287,87647853.34583464,1617.0211882840392,15.54598451841698,0.0,0.0
equal_all_members,person,third_plus_nh_white,children_5_17,36287,87647853.34583464,0.11928148236839922,0.0014632538722677212,0.0,0.0
equal_all_members,person,third_plus_nh_white,k12_cost_at_full_attendance,36287,87647853.34583464,2057.485283315253,28.850964838429732,0.0,0.0
equal_all_members,person,third_plus_nh_white,k12_charged_acs_native,36287,87647853.34583464,1651.5460069294804,23.158705513652368,0.0,0.0
equal_all_members,person,third_plus_nh_white,k12_charged_flat_090,36287,87647853.34583464,1851.736754983728,25.965868354586743,0.0,0.0
equal_all_members,person,third_plus_nh_white,k12_charged_differential,36287,87647853.34583464,1651.5460069294804,23.158705513652368,0.0,0.0
equal_all_members,person,third_plus_nh_white,extended_balance_base,36287,87647853.34583464,15984.42482115891,291.8329232922215,0.0,0.0
equal_all_members,person,third_plus_nh_white,extended_balance_sales25,36287,87647853.34583464,15684.501999661234,289.0308718764578,0.0,0.0
equal_all_members,person,third_plus_nh_white,extended_balance_sales45,36287,87647853.34583464,16284.347642656847,294.6387763236392,0.0,0.0
equal_all_members,person,third_plus_nh_white,extended_balance_sales_itep,36287,87647853.34583464,16747.17588902782,293.4547507044993,0.0,0.0
