design,spec,level,outcome,treatment,estimator,n,coef,se,t,first_stage_F,fe
a: metro flight,long 2008-2023,elem,"d priv share (wnh, US-born)",d hisp_share,WLS HC1,333,0.1536356796682403,0.095436462496481,1.6098216095751166,,
a: metro flight,long 2008-2023,elem,"d priv share (wnh, US-born)",d fb_share,WLS HC1,333,-0.2836086393654402,0.1946317134962142,-1.4571553333776546,,
a: metro flight,horse-race 2008-2023,elem,"d priv share (wnh, US-born)",d hisp_share,WLS HC1,333,0.1185714827096463,0.0994128013362232,1.1927184539205034,,
a: metro flight,horse-race 2008-2023,elem,"d priv share (wnh, US-born)",d asian_share,WLS HC1,333,-0.3230404853019872,0.2372503005362085,-1.3616020067071974,,
a: metro flight,horse-race 2008-2023,elem,"d priv share (wnh, US-born)",d black_share,WLS HC1,333,-0.0570873006794487,0.1480530557405673,-0.3855867776176298,,
a: metro flight,by group 2008-2023,elem,d priv share (all US-born non-Hispanic),d hisp_share,WLS HC1,333,0.1068292805720061,0.0860752538691222,1.2411149055039727,,
a: metro flight,by group 2008-2023,elem,d priv share (US-born Hispanic),d hisp_share,WLS HC1,333,0.0066862239318872,0.1051020001561567,0.0636165241570387,,
a: metro flight,generation split 2008-2023,elem,"d priv share (wnh, US-born)",d hisp foreign-born share,WLS HC1,333,-0.1293471677697952,0.2453064923517807,-0.5272879919717145,,
a: metro flight,generation split 2008-2023,elem,"d priv share (wnh, US-born)",d hisp US-born share,WLS HC1,333,0.2084233495527824,0.0944145361347767,2.207534539546518,,
a: metro flight,counts 2008-2023,elem,d wnh private enrol (per 100 base),d hispanic public enrol (per 100 base),WLS HC1,333,0.1007133449335507,0.0274648285919645,3.6669933910680457,,
a: metro flight,"counts, growth controlled 2008-2023",elem,d wnh private enrol (per 100 base),d hispanic public enrol (per 100 base),"WLS HC1, + d total enrol",333,-0.126887766101342,0.0410955036994501,-3.087631363015506,,
