spec,outcome,treatment,estimator,n,coef,se,t,fe
A district+year FE,pp_current,hisp_share,"WLS, cluster(district)",38084,-2277.2605417399122,698.597901000009,-3.2597586372362763,leaid+year_f
A district+year FE,pp_instruction,hisp_share,"WLS, cluster(district)",38084,-1074.6545279204881,378.06921164862104,-2.842480939493365,leaid+year_f
A district+year FE,pp_rev_local,hisp_share,"WLS, cluster(district)",38084,-4660.071843128426,664.7936571442485,-7.009801903265259,leaid+year_f
A district+year FE,pp_rev_proptax,hisp_share,"WLS, cluster(district)",34745,-3088.2165807773267,598.4525397150604,-5.160336661362839,leaid+year_f
A district+year FE,pp_rev_state,hisp_share,"WLS, cluster(district)",38084,1344.5707154889171,735.5119341032752,1.8280746418182827,leaid+year_f
A district+year FE,pp_rev_total,hisp_share,"WLS, cluster(district)",38084,-3024.0464598570784,1070.019827321781,-2.826159275409085,leaid+year_f
A district+year FE,local_effort,hisp_share,"WLS, cluster(district)",24856,-0.08651745855754917,0.02432502825609046,-3.5567259222355503,leaid+year_f
A district+year FE,proptax_effort,hisp_share,"WLS, cluster(district)",22854,-0.06874289271027322,0.022872185636103066,-3.0055235561644182,leaid+year_f
B district+state-year FE,pp_current,hisp_share,"WLS, cluster(district)",38084,-1108.6463520232926,635.7725201508969,-1.74377834348701,leaid+state_year
B district+state-year FE,pp_instruction,hisp_share,"WLS, cluster(district)",38084,-597.3725364635927,308.81069100729854,-1.9344295837525722,leaid+state_year
B district+state-year FE,pp_rev_local,hisp_share,"WLS, cluster(district)",38084,-4471.702060989015,686.5709430348561,-6.513095414761813,leaid+state_year
B district+state-year FE,pp_rev_proptax,hisp_share,"WLS, cluster(district)",34745,-3692.699270712074,664.466590714809,-5.557388922653888,leaid+state_year
B district+state-year FE,pp_rev_state,hisp_share,"WLS, cluster(district)",38084,2808.5326762879045,704.2256302444055,3.988114825234616,leaid+state_year
B district+state-year FE,pp_rev_total,hisp_share,"WLS, cluster(district)",38084,-1062.8520659447158,1093.177462103015,-0.9722594023298283,leaid+state_year
B district+state-year FE,local_effort,hisp_share,"WLS, cluster(district)",24856,-0.07170752582436203,0.019647238634869016,-3.6497508457549253,leaid+state_year
B district+state-year FE,proptax_effort,hisp_share,"WLS, cluster(district)",22854,-0.06545135565397849,0.01819209576718539,-3.597790847827362,leaid+state_year
B-elf district+state-year FE,pp_current,elf,"WLS, cluster(district)",38084,-473.98627345254573,265.3628037934912,-1.786182037107989,leaid+state_year
B-elf district+state-year FE,pp_rev_local,elf,"WLS, cluster(district)",38084,1155.3575947878553,474.7995672323776,2.433358567537188,leaid+state_year
C + elderly share (Poterba),pp_current,hisp_share,"WLS, cluster(district)",38079,-989.6176970609066,643.8957948603804,-1.5369221308169765,leaid+state_year
C + elderly share (Poterba),pp_current,share65_c,"WLS, cluster(district)",38079,4916.912931118609,1767.6109824638456,2.7816714084141974,leaid+state_year
C + elderly share (Poterba),pp_current,hisp_x_65,"WLS, cluster(district)",38079,5954.358980702262,6621.923661492387,0.8991887078565814,leaid+state_year
C + elderly share (Poterba),pp_rev_local,hisp_share,"WLS, cluster(district)",38079,-4418.891552761838,707.11443898209,-6.249188687368554,leaid+state_year
C + elderly share (Poterba),pp_rev_local,share65_c,"WLS, cluster(district)",38079,2027.194441794988,3517.6897297113287,0.576285743643839,leaid+state_year
C + elderly share (Poterba),pp_rev_local,hisp_x_65,"WLS, cluster(district)",38079,-2370.336625349939,7280.544224812196,-0.32557135183271035,leaid+state_year
C + elderly share (Poterba),pp_rev_proptax,hisp_share,"WLS, cluster(district)",34744,-3644.610091240493,687.8984601949539,-5.29818033057901,leaid+state_year
C + elderly share (Poterba),pp_rev_proptax,share65_c,"WLS, cluster(district)",34744,2260.3633475345846,2924.9305747994326,0.7727921363362894,leaid+state_year
C + elderly share (Poterba),pp_rev_proptax,hisp_x_65,"WLS, cluster(district)",34744,566.0636863423787,6876.56101658005,0.08231784535577372,leaid+state_year
"E long diff 2000-2019, state FE",d_pp_current,d_hisp_share,"WLS, cluster(district)",11877,-1565.75411735506,590.5338606948645,-2.651421402851788,state_year
"E long diff 2000-2019, state FE",d_pp_instruction,d_hisp_share,"WLS, cluster(district)",11877,-752.8251732805694,264.7319885423487,-2.8437257523192794,state_year
"E long diff 2000-2019, state FE",d_pp_rev_local,d_hisp_share,"WLS, cluster(district)",11877,-4954.861572681501,860.6067178577043,-5.757405176914682,state_year
"E long diff 2000-2019, state FE",d_pp_rev_proptax,d_hisp_share,"WLS, cluster(district)",10931,-3768.508044405456,685.8435796193571,-5.494704851647042,state_year
"E long diff 2000-2019, state FE",d_pp_rev_state,d_hisp_share,"WLS, cluster(district)",11877,2811.9461190409043,643.8057794336463,4.3676931908169,state_year
"E long diff 2000-2019, state FE",d_pp_rev_total,d_hisp_share,"WLS, cluster(district)",11877,-1783.519082048186,1159.8417856458636,-1.5377261831061075,state_year
"F placebo: d outcome 2000-2010 on d hisp 2010-2019, state FE",d_pp_current,d_hisp_late,"WLS, cluster(district)",11789,-29.559305496282196,853.9608743255693,-0.03461435574507694,state_year
"F placebo: d outcome 2000-2010 on d hisp 2010-2019, state FE",d_pp_rev_local,d_hisp_late,"WLS, cluster(district)",11789,-1254.349768617113,769.0523907925494,-1.6310329226393,state_year
"F placebo: d outcome 2000-2010 on d hisp 2010-2019, state FE",d_pp_rev_proptax,d_hisp_late,"WLS, cluster(district)",10860,-122.33434447154698,623.3471511942386,-0.19625395614173088,state_year
"E2 long diff 2000-2010, state FE",d_pp_current,d_hisp_early,"WLS, cluster(district)",11789,-89.9302437567044,677.6367701485967,-0.1327115760512581,state_year
"E2 long diff 2000-2010, state FE",d_pp_rev_local,d_hisp_early,"WLS, cluster(district)",11789,-3336.2508914451614,579.4199193281275,-5.757915425679093,state_year
