spec,level,outcome,treatment,estimator,n,coef,se,t,first_stage_F
long 2008-2023,all,"d priv share (wnh, US-born)",d fb_share,WLS HC1,333,-0.3052759149515528,0.15215287202238478,-2.006376290462927,
horse-race 2008-2023,all,"d priv share (wnh, US-born)",d hisp_share,WLS HC1,333,0.11237469251708451,0.08402681172066002,1.3373670881463955,
horse-race 2008-2023,all,"d priv share (wnh, US-born)",d asian_share,WLS HC1,333,-0.42438479929399575,0.23139947616802684,-1.8339920483909646,
horse-race 2008-2023,all,"d priv share (wnh, US-born)",d black_share,WLS HC1,333,0.008892843712120275,0.1305004771757924,0.06814414709105662,
by group 2008-2023,all,d priv share (all US-born non-Hispanic),d hisp_share,WLS HC1,333,0.09561817784940602,0.08242098395439537,1.160119344150427,
by group 2008-2023,all,d priv share (US-born Hispanic),d hisp_share,WLS HC1,333,0.0009080017036811972,0.08268400624694942,0.010981588155867777,
generation split 2008-2023,all,"d priv share (wnh, US-born)",d hisp foreign-born share,WLS HC1,333,-0.14547368918167392,0.19419045577743457,-0.7491289342685519,
generation split 2008-2023,all,"d priv share (wnh, US-born)",d hisp US-born share,WLS HC1,333,0.19557556457795122,0.08610668350100185,2.271316890002803,
counts 2008-2023,all,d wnh private enrol (per 100 base),d hispanic public enrol (per 100 base),WLS HC1,333,0.11268933408294964,0.020472173151747975,5.504512552118967,
"counts, growth controlled 2008-2023",all,d wnh private enrol (per 100 base),d hispanic public enrol (per 100 base),"WLS HC1, + d total enrol",333,-0.13510485727531135,0.03877530503462302,-3.4843015974903175,
counts 2008-2023,all,d wnh private enrol (per 100 base),d foreign-born public enrol (per 100 base),WLS HC1,333,-0.006679386945666758,0.09428678661356059,-0.07084117706802949,
"counts, growth controlled 2008-2023",all,d wnh private enrol (per 100 base),d foreign-born public enrol (per 100 base),"WLS HC1, + d total enrol",333,-0.2703863475078188,0.07585432900691827,-3.5645473507933647,
IV 2008-2023,all,"d priv share (wnh, US-born)",d fb_share,2SLS (z_fb),333,-0.2824750097419929,1.2397456029522806,-0.22784917249903383,4.247428106207076
IV 2008-2023,all,"d priv share (wnh, US-born)",d fb_share,2SLS (z_mex),333,0.04646483157262608,0.389491687307319,0.11929608021637732,33.513908107000724
long [SCH def change] 2005-2023,all,"d priv share (wnh, US-born)",d hisp_share,WLS HC1,330,0.14280584998868398,0.07673035298754276,1.8611389681977435,
long [SCH def change] 2005-2023,all,"d priv share (wnh, US-born)",d fb_share,WLS HC1,330,-0.25531112849046284,0.14022605610396008,-1.8207110403303475,
horse-race [SCH def change] 2005-2023,all,"d priv share (wnh, US-born)",d hisp_share,WLS HC1,330,0.11815126267641647,0.08018057094864778,1.4735647461538692,
horse-race [SCH def change] 2005-2023,all,"d priv share (wnh, US-born)",d asian_share,WLS HC1,330,-0.4744980527834386,0.30311295876188477,-1.56541658503023,
horse-race [SCH def change] 2005-2023,all,"d priv share (wnh, US-born)",d black_share,WLS HC1,330,0.010499765119673054,0.13972722976418558,0.07514473118370174,
by group [SCH def change] 2005-2023,all,d priv share (all US-born non-Hispanic),d hisp_share,WLS HC1,330,0.08861902294547833,0.07584216528892124,1.168466414531858,
by group [SCH def change] 2005-2023,all,d priv share (US-born Hispanic),d hisp_share,WLS HC1,330,0.05362011685407677,0.05629803940025235,0.9524331117974318,
generation split [SCH def change] 2005-2023,all,"d priv share (wnh, US-born)",d hisp foreign-born share,WLS HC1,330,-0.18025436689368018,0.1981605907111729,-0.9096378157067984,
generation split [SCH def change] 2005-2023,all,"d priv share (wnh, US-born)",d hisp US-born share,WLS HC1,330,0.18187604211136948,0.07912882893970057,2.298480143690317,
counts [SCH def change] 2005-2023,all,d wnh private enrol (per 100 base),d hispanic public enrol (per 100 base),WLS HC1,330,0.15555759406650602,0.030243415817565695,5.143519336733006,
"counts, growth controlled [SCH def change] 2005-2023",all,d wnh private enrol (per 100 base),d hispanic public enrol (per 100 base),"WLS HC1, + d total enrol",330,-0.1482855552138977,0.032592567425772226,-4.549673957156332,
counts [SCH def change] 2005-2023,all,d wnh private enrol (per 100 base),d foreign-born public enrol (per 100 base),WLS HC1,330,0.14568463066030618,0.09505156853533932,1.532690442726802,
"counts, growth controlled [SCH def change] 2005-2023",all,d wnh private enrol (per 100 base),d foreign-born public enrol (per 100 base),"WLS HC1, + d total enrol",330,-0.21899350429136374,0.07102288744931184,-3.083421586423907,
IV [SCH def change] 2005-2023,all,"d priv share (wnh, US-born)",d fb_share,2SLS (z_fb),330,5.6246176655137585,13.470049913458787,0.41756472334180766,0.17481080590494955
IV [SCH def change] 2005-2023,all,"d priv share (wnh, US-born)",d fb_share,2SLS (z_mex),330,-0.10824052335869934,0.2853514209045838,-0.37932358288446355,68.79989782861917
two-way FE,all,"priv share (wnh, US-born)",hisp_share,"WLS, cluster(CBSA)",1336,0.1141465138142995,0.07165212020498371,1.593065403895196,
two-way FE,all,"priv share (wnh, US-born)",fb_share,"WLS, cluster(CBSA)",1336,-0.2130771135356225,0.10725535807810978,-1.9866337435603636,
two-way FE horse-race,all,"priv share (wnh, US-born)",hisp_share,"WLS, cluster(CBSA)",1336,0.09850607456396651,0.07237128949834884,1.3611208981734937,
two-way FE horse-race,all,"priv share (wnh, US-born)",asian_share,"WLS, cluster(CBSA)",1336,-0.3380549666760058,0.24178856523234019,-1.3981429037025015,
two-way FE horse-race,all,"priv share (wnh, US-born)",black_share,"WLS, cluster(CBSA)",1336,-0.018816356376704525,0.10299320132295003,-0.18269513069802662,
placebo pre-trend 2008-2010 on 2010-2023,elem,d priv share 2008-2010,d hisp_share 2010-2023,WLS HC1,331,0.018161672864186535,0.05759110422152258,0.3153555242547211,
placebo pre-trend 2008-2010 on 2010-2023,sec,d priv share 2008-2010,d hisp_share 2010-2023,WLS HC1,323,0.06543048043131652,0.05623999989606103,1.1634153725505108,
influence: drop 5 largest metros,sec,"d priv share (wnh, US-born)",d hisp_share,WLS HC1,324,0.07989984914797262,0.07609538511327019,1.0499959889688366,
influence: drop California,sec,"d priv share (wnh, US-born)",d hisp_share,WLS HC1,303,0.06485456923119694,0.08027947552188758,0.8078599020432669,
