year,state,total,cells,med,ratio
2005,01,793433.0,308,822000.5,0.9652463715046402
2005,02,143961.0,58,132387.0,1.0874255025040223
2005,04,1111893.0,434,1185658.5,0.9377852054364726
2005,05,486925.0,186,515413.0,0.9447278202140807
2005,06,6988145.0,2981,6724703.5,1.0391751844523702
2005,08,830930.0,411,896653.0,0.9267018567940999
2005,09,605126.0,295,599400.0,1.0095528862195529
2005,10,141465.0,71,149082.5,0.9489041302634448
2005,11,77034.0,46,74922.5,1.0281824552037104
2005,12,2917004.0,1516,2931728.0,0.9949777059809095
2005,13,1651251.0,702,1813365.0,0.910600458264056
2005,15,214776.0,101,217056.5,0.9894935189685635
2005,16,266777.0,89,312707.5,0.8531199283675639
2005,17,2335794.0,936,2285903.0,1.0218255105312868
2005,18,1159593.0,446,1161650.0,0.9982292428872724
2005,19,474762.0,184,524346.0,0.9054364865947294
2005,20,486434.0,218,516108.0,0.9425042820494935
2005,21,703399.0,273,739027.0,0.9517906652936902
2005,22,824688.0,351,803131.0,1.0268412002525118
2005,23,205258.0,82,201826.0,1.017004746662967
2005,24,1006319.0,494,987140.0,1.019428855076281
2005,25,1062711.0,580,1046439.0,1.0155498791616138
2005,26,1840410.0,703,1740844.0,1.0571940966565643
2005,27,901417.0,392,929318.0,0.9699769077969005
2005,28,534869.0,188,538041.0,0.9941045385017127
2005,29,990304.0,410,1021286.0,0.9696637376797489
2005,30,142991.0,55,162982.0,0.8773422831969174
2005,31,313125.0,136,328792.0,0.9523498138640842
2005,32,441809.0,198,477607.0,0.9250471622065841
2005,33,226260.0,96,214854.0,1.053087212711888
2005,34,1576012.0,754,1490522.0,1.0573557451684712
2005,35,354107.0,153,354107.0,1.0
2005,36,3281030.0,1628,3162193.0,1.0375805651331211
2005,37,1532738.0,665,1650600.0,0.9285944505028475
2005,38,107511.0,40,107511.0,1.0
2005,39,1993469.0,853,1991031.0,1.0012244912309252
2005,40,601338.0,210,667328.0,0.9011130958089575
2005,41,615771.0,305,628434.0,0.9798499126399909
2005,42,2057822.0,877,2030248.0,1.0135815920025535
2005,44,185454.0,83,164276.0,1.1289171881467774
2005,45,747060.0,291,781185.0,0.9563163655216114
2005,46,136053.0,54,146137.0,0.9309962569369837
2005,47,990221.0,426,1073167.0,0.9227091403295107
2005,48,4435739.0,1778,4841732.5,0.9161470609952119
2005,49,510497.0,177,610391.0,0.8363442449184212
2005,50,101772.0,35,96281.0,1.0570309822291002
2005,51,1305440.0,472,1326763.5,0.9839281831313569
2005,53,1087344.0,549,1129899.5,0.9623369158053438
