level,scope,region,bound,window,coef,d_hisp_share,wnh_enrolled_end,implied_d_private_share,implied_natives_moved,tuition_per_pupil,implied_tuition_spend_musd,state_aid_per_pupil,implied_state_aid_shifted_musd,aid_price_year
elem,US metros,national (panel metros),point,2008-2023,0.1536356796682403,0.04519890349312422,11493282.0034,0.00694416425842534,79811.23810001346,9210.0,735.061502901124,9589.0,765.3099621410291,2024
elem,US metros,national (panel metros),lo95,2008-2023,-0.03341978682486246,0.04519890349312422,11493282.0034,-0.0015105377194577427,-17361.035986500552,9210.0,-159.89514143567007,9589.0,-166.47497407455378,2024
elem,US metros,national (panel metros),hi95,2008-2023,0.34069114616134305,0.04519890349312422,11493282.0034,0.015398866236308423,176983.51218652749,9210.0,1630.0181472379181,9589.0,1697.094898356612,2024
elem,CA metros,California,point,2008-2023,0.1536356796682403,0.018971587579257043,752794.0,0.0029147127521247014,2194.1782715229624,9210.0,20.20838188072648,9589.0,21.039975445633686,2024
elem,CA metros,California,lo95,2008-2023,-0.03341978682486246,0.018971587579257043,752794.0,-0.0006340264126279789,-477.29127926786674,9210.0,-4.395852682057053,9589.0,-4.576746076899574,2024
elem,CA metros,California,hi95,2008-2023,0.34069114616134305,0.018971587579257043,752794.0,0.006463451916877382,4865.647822313792,9210.0,44.812616443510024,9589.0,46.65669696816695,2024
elem,TX metros,Texas,point,2008-2023,0.1536356796682403,0.014305973492224178,822636.2199,0.0021979079607936905,1808.0786965554391,9210.0,16.652404795275594,9589.0,17.337666621270106,2024
elem,TX metros,Texas,lo95,2008-2023,-0.03341978682486246,0.014305973492224178,822636.2199,-0.0004781025844322652,-393.30450278177926,9210.0,-3.622334470620187,9589.0,-3.7713968771744812,2024
elem,TX metros,Texas,hi95,2008-2023,0.34069114616134305,0.014305973492224178,822636.2199,0.004873918506019647,4009.4618958926576,9210.0,36.927144061171376,9589.0,38.446730119714694,2024
sec,US metros,national (panel metros),point,2008-2023,0.0776917892041586,0.0789830446843815,7922034.6027,0.006136334058321607,48612.25074375029,15420.0,749.6009064686294,9589.0,466.1428723818216,2024
sec,US metros,national (panel metros),lo95,2008-2023,-0.06580010072171423,0.0789830446843815,7922034.6027,-0.005197092295539958,-41171.54499869312,15420.0,-634.8652238798479,9589.0,-394.7939449924683,2024
sec,US metros,national (panel metros),hi95,2008-2023,0.22118367913003145,0.0789830446843815,7922034.6027,0.017469760412183174,138396.04648619372,15420.0,2134.0670368171072,9589.0,1327.0796897561115,2024
sec,CA metros,California,point,2008-2023,0.0776917892041586,0.06630755679870098,522982.0,0.005151552725447451,2694.1693474599588,15420.0,41.54409133783256,9589.0,25.834389872793544,2024
sec,CA metros,California,lo95,2008-2023,-0.06580010072171423,0.06630755679870098,522982.0,-0.004363043915965312,-2281.793433259371,15420.0,-35.1852547408595,9589.0,-21.880117231524107,2024
sec,CA metros,California,hi95,2008-2023,0.22118367913003145,0.06630755679870098,522982.0,0.014666149366860214,7670.132128179288,15420.0,118.27343741652462,9589.0,73.54889697711118,2024
sec,TX metros,Texas,point,2008-2023,0.0776917892041586,0.06954058601498525,549237.7312,0.005402732549809894,2967.3845679379774,15420.0,45.75707003760361,9589.0,28.454250621957264,2024
sec,TX metros,Texas,lo95,2008-2023,-0.06580010072171423,0.06954058601498525,549237.7312,-0.004575777564033061,-2513.1896877453814,15420.0,-38.75338498503378,9589.0,-24.09897591579046,2024
sec,TX metros,Texas,hi95,2008-2023,0.22118367913003145,0.06954058601498525,549237.7312,0.01538124266365285,8447.958823621337,15420.0,130.267525060241,9589.0,81.007477159705,2024
all,US metros,national (panel metros),point,2008-2023,0.1369784919452198,0.058710430553696236,19415316.6061,0.008042066238699866,156139.26219158567,12790.0,1997.0211634303807,9589.0,1497.219385155115,2024
all,US metros,national (panel metros),lo95,2008-2023,-0.026426300207026326,0.058710430553696236,19415316.6061,-0.0015514994630957475,-30122.8532901981,12790.0,-385.27129358163376,9589.0,-288.8480401997096,2024
all,US metros,national (panel metros),hi95,2008-2023,0.30038328409746595,0.058710430553696236,19415316.6061,0.017635631940495482,342401.37767336954,12790.0,4379.313620442396,9589.0,3283.2868105099406,2024
all,CA metros,California,point,2008-2023,0.1369784919452198,0.03836760534235445,1275776.0,0.005255536719345071,6704.887613659178,12790.0,85.75551257870089,9589.0,64.29316732737786,2024
all,CA metros,California,lo95,2008-2023,-0.026426300207026326,0.03836760534235445,1275776.0,-0.0010139138570017657,-1293.5269648302847,12790.0,-16.54420988017934,9589.0,-12.4036300657576,2024
all,CA metros,California,hi95,2008-2023,0.30038328409746595,0.03836760534235445,1275776.0,0.011524987295691909,14703.302192148642,12790.0,188.05523503758113,9589.0,140.9899647205133,2024
all,TX metros,Texas,point,2008-2023,0.1369784919452198,0.03556635194509322,1371873.9511000002,0.004871825253431805,6683.530159494249,12790.0,85.48235073993145,9589.0,64.08837069939035,2024
all,TX metros,Texas,lo95,2008-2023,-0.026426300207026326,0.03556635194509322,1371873.9511000002,-0.0009398870937697882,-1289.4066209178557,12790.0,-16.491510681539374,9589.0,-12.364120087981318,2024
all,TX metros,Texas,hi95,2008-2023,0.30038328409746595,0.03556635194509322,1371873.9511000002,0.010683537600633399,14656.466939906357,12790.0,187.4562121614023,9589.0,140.54086148676205,2024
