region_of_birth,foreign_born,residual_unadjusted,se,residual_ohss_coverage,share_of_foreign_born_pct
Mexico,11153915,3963085,46119,4161076,35.5
Other North/Central America and Caribbean,10620640,2799928,42752,3017686,26.4
South America,4856834,1659052,28839,1818371,34.2
Asia,15319075,2906567,33076,3163907,19.0
Europe,5059331,550379,13461,597065,10.9
Africa,2970136,442066,14185,484193,14.9
Oceania and at sea,275702,77261,5115,83452,28.0
TOTAL,50280846,12400432,94956,13328006,24.7
