years_since_arrival,arrival_window,residual_unadjusted,se,implied_ohss_multiplier,residual_ohss_coverage
0-0,2024 (survey year),698764,19132,1.1494,803177
1-3,2021-2023,3181681,47938,1.1273,3586582
4-5,2019-2020,1050765,19194,1.0997,1155515
6-10,2014-2018,2230470,30086,1.0763,2400669
11-15,2009-2013,1077848,17940,1.0507,1132546
16-25,1999-2008,2626836,31612,1.0269,2697467
26-44,1980-1998,1534068,20381,1.0117,1552049
