fiscal_year,Total Encounters,T8 repatriations1,T42 expulsions2,Migrant Protection Protocols3,Transfers to ICE4,Transfers to HHS5,USBP Releases6,OFO Paroles7,Other outcomes8,known_gotaways,gotaway_source,released_or_paroled
2021,1734680.0,39520.0,1063520.0,3240.0,185220.0,121790.0,293470.0,25030.0,2900.0,389155,DHS Border Security Metrics Report (via House report),440290.0
2022,2378940.0,81500.0,1079510.0,12410.0,293030.0,127400.0,685300.0,92640.0,7160.0,737244,ICE FY2025 Congressional Justification (via House report),905340.0
2023,2475670.0,200610.0,564380.0,0.0,309890.0,118100.0,909450.0,370190.0,3060.0,694685,"House report, CBP data",1397740.0
2024,2135000.0,298280.0,0.0,0.0,327810.0,96930.0,861720.0,547660.0,2600.0,194000,[UNVERIFIED] through June FY24 only; journalist posting of internal CBP data,1506310.0
