region_of_birth,foreign_born,residual_unadjusted,se,residual_ohss_coverage,share_of_foreign_born_pct
Mexico,11153915,3981267,46421,4180284,35.7
Other North/Central America and Caribbean,10620640,2838171,42633,3058932,26.7
South America,4856834,1682958,28378,1844364,34.7
Asia,15319075,3358743,36769,3655464,21.9
Europe,5059331,739194,17228,804396,14.6
Africa,2970136,571468,15796,624895,19.2
Oceania and at sea,275702,79978,5324,86429,29.0
TOTAL,50280846,13253873,98466,14257019,26.4
