years_since_arrival,arrival_window,residual_unadjusted,se,implied_ohss_multiplier,residual_ohss_coverage
0-0,2024 (survey year),758133,19880,1.1494,871417
1-3,2021-2023,3455518,49291,1.1273,3895284
4-5,2019-2020,1146987,20287,1.0997,1261341
6-10,2014-2018,2428893,30267,1.0763,2614138
11-15,2009-2013,1160995,17723,1.0507,1219879
16-25,1999-2008,2713147,32637,1.0269,2786199
26-44,1980-1998,1590200,21066,1.0117,1608761
