region_of_birth,foreign_born,residual_unadjusted,se,share_of_foreign_born_pct
Europe,4746443,661680,76919,13.9
Asia,15957397,3829281,159609,24.0
Mexico,12231214,4567144,165012,37.3
Other North/Central America and Caribbean,11490954,3117459,170783,27.1
South America,5062406,1967816,132069,38.9
Africa,3120063,665080,69246,21.3
Oceania and at sea,509719,87941,24587,17.3
TOTAL,53118195,14896401,316399,28.0
