residency_share_of_releases_and_gotaways,implied_additions_fy22_24,cbo_ofn_net_2022_2024,residual_other_flows,stock_jan2025_if_only_these_flows
0.5,2717660,5700000,2982340,13707660
0.6,3261191,5700000,2438809,14251191
0.7,3804723,5700000,1895277,14794723
0.8,4348255,5700000,1351745,15338255
0.9,4891787,5700000,808213,15881787
1.0,5435319,5700000,264681,16425319
