years_since_arrival,arrival_window,residual_unadjusted,se,implied_ohss_multiplier,residual_ohss_coverage
0-0,2024 (survey year),713949,19207,1.1494,820631
1-3,2021-2023,3262608,47668,1.1272,3677718
4-5,2019-2020,1075156,19467,1.0997,1182335
6-10,2014-2018,2288385,30591,1.0763,2462942
11-15,2009-2013,1109072,17709,1.0507,1165331
16-25,1999-2008,2666176,32209,1.0269,2737908
26-44,1980-1998,1553080,20594,1.0117,1571286
