id,organisation,reference_date,estimate,estimate_coverage_adjusted,survey,includes_parole_tps_daca_pending_asylum,quasi_legal_count,coverage_adjustment,mexico_born,mexico_share_pct,share_of_foreign_born_pct,superseded_by,citation,url
dhs_ohss_2022,DHS Office of Homeland Security Statistics,2022-01-01,10990000,,ACS,True,,"13% at arrival, declining 7.5% per year of presence",,44.0,,,"Bryan Baker and Robert Warren, ""Estimates of the Unauthorized Immigrant Population Residing in the United States: January 2018-January 2022"", OHSS, April 2024",https://www.dhs.gov/sites/default/files/2024-05/2024_0418_ohss_estimates-of-the-unauthorized-immigrant-population-residing-in-the-united-states-january2018%E2%80%93january-2022.pdf
mpi_2023_factsheet,Migration Policy Institute (superseded),2023-07-01,13700000,,ACS,True,4000000.0,applied; rate not printed,,,26.0,mpi_2024,"Julia Gelatt, Ariel G. Ruiz Soto and James D. Bachmeier, ""Changing Origins, Rising Numbers: Unauthorized Immigrants in the United States"", MPI fact sheet, October 2025",https://www.migrationpolicy.org/sites/default/files/publications/mpi-unauthorized-immigrants-fact-sheet-2025_FINAL.pdf
pew_2023,Pew Research Center,2023-07-01,14000000,,"ACS (augmented, IPUMS)",True,6000000.0,applied; rate not printed in the report,4300000.0,30.0,27.0,,"Jeffrey S. Passel and Jens Manuel Krogstad, ""U.S. Unauthorized Immigrant Population Reached a Record 14 Million in 2023"", Pew Research Center, August 21, 2025",https://www.pewresearch.org/race-and-ethnicity/2025/08/21/u-s-unauthorized-immigrant-population-reached-a-record-14-million-in-2023/
cms_2024,Center for Migration Studies of New York,2024-07-01,14610000,,ACS 2024 (IPUMS),True,5400000.0,"5% for 1982-2020 arrivals, 37% for 2021-2024 arrivals (16% overall)",5100000.0,35.0,29.0,,"Ryan Allen, Robert Warren and Jose Pacas, ""Estimates of the Size and Composition of the Undocumented Immigrant Population in the U.S. in 2024"", Journal on Migration and Human Security, July 16, 2026",https://journals.sagepub.com/doi/10.1177/23315024261466218
mpi_2024,Migration Policy Institute,2024-07-01,15754000,,ACS,True,6315000.0,applied; rate not printed in the commentary,5519000.0,35.0,,,"Ariel G. Ruiz Soto, Julia Gelatt and Jennifer Van Hook, ""Following Years of High Border Arrivals, the U.S. Unauthorized Immigrant Population Hits New Peak"", MPI commentary, 2026",https://www.migrationpolicy.org/commentary/us-unauthorized-immigrant-population-new-peak
cis_jan2025,Center for Immigration Studies,2025-01-01,15400000,15800000.0,monthly CPS,True,,2.25% flat,,,29.0,,"Steven A. Camarota and Karen Zeigler, ""Foreign-Born Number and Share of U.S. Population at All-Time Highs in January 2025"", CIS, March 12, 2025",https://cis.org/Report/ForeignBorn-Number-and-Share-US-Population-AllTime-Highs-January-2025
cis_jul2026,Center for Immigration Studies,2026-07-01,13100000,13500000.0,monthly CPS,True,,2.25% flat,,,,,"Steven A. Camarota and Karen Zeigler, ""Census Bureau Survey Shows Total Foreign-Born Down 2.9 Million"", CIS, September 3, 2026",https://cis.org/Report/Census-Bureau-Survey-Shows-Total-ForeignBorn-Down-29-Million
