peinusyr_code,arrival_window,residual_unadjusted,se
7,1980-1981,73572,13799
8,1982-1983,49682,14745
9,1984-1985,67457,15789
10,1986-1987,97583,16652
11,1988-1989,166232,26340
12,1990-1991,229039,33346
13,1992-1993,168562,29569
14,1994-1995,261587,33922
15,1996-1997,291133,42164
16,1998-1999,438575,43564
17,2000-2001,794582,62307
18,2002-2003,504963,46979
19,2004-2005,523234,55459
20,2006-2007,543495,46816
21,2008-2009,398649,41681
22,2010-2011,489674,53372
23,2012-2013,660952,55295
24,2014-2015,947819,70748
25,2016-2017,1308446,99179
26,2018-2019,1506768,105903
27,2020-2021,1578270,107453
28,2022-2025,3796130,179346
