arrival_cohort,counted_residual,none,cis_2.25pct_flat,dhs_ohss_decay,cms_5_37,cms_high_5_65,census_2020_pes_hispanic_4.99pct
arrived before 2001,2253895,2253895,2305775,2285771,2372521,2372521,2372271
2001-2010,2389036,2389036,2444027,2465051,2514775,2514775,2514510
2011-2020,4217373,4217373,4314448,4549480,4439340,4439340,4438873
2021-2024,4113597,4113597,4208283,4653637,6529519,11753134,4329646
TOTAL,12973901,12973901,13272533,13953939,15856155,21079770,13655300
