region_of_birth,foreign_born,residual_unadjusted,se,residual_ohss_coverage,share_of_foreign_born_pct
Mexico,11153915,3980391,46446,4179338,35.7
Other North/Central America and Caribbean,10620640,2837675,42599,3058396,26.7
South America,4856834,1682429,28391,1843782,34.6
Asia,15319075,3047808,34110,3317355,19.9
Europe,5059331,563998,13801,611800,11.1
Africa,2970136,474339,14969,519091,16.0
Oceania and at sea,275702,79692,5304,86134,28.9
TOTAL,50280846,12668426,95225,13618152,25.2
