rule_variant,residual_counted,se,residual_dhs_coverage,pct_vs_published_rules
"Borjas as published (Cuba only, occupation rule on)",12973901,98154,13953938,0.0
occupation rule (h) dropped,13253873,98466,14257019,2.16
wide refugee-origin list for rule (g),12400432,94956,13328006,-4.42
wide refugee list and no occupation rule,12668426,95225,13618152,-2.35
