years_since_arrival,arrival_window,residual_unadjusted,se,implied_ohss_multiplier,residual_ohss_coverage
0-0,2024 (survey year),741439,19690,1.1494,852229
1-3,2021-2023,3372158,49406,1.1273,3801408
4-5,2019-2020,1121872,19983,1.0997,1233723
6-10,2014-2018,2367900,29819,1.0763,2548572
11-15,2009-2013,1128521,17948,1.0507,1185776
16-25,1999-2008,2671523,32068,1.0269,2743413
26-44,1980-1998,1570488,20845,1.0117,1588817
