block,year,offence,race_panel_total,race_panel_white,eth_panel_total,eth_panel_hispanic,nh_white_constructed,hispanic_share_of_eth_panel,est_national_arrests_t29,offences_known_t1,crimes_per_arrest
arrests_43C_adult18,2020,murder,7972,3718,6726,1479,1658,0.2199,12444.0,21570.0,1.733
arrests_43C_adult18,2020,sexual,12172,8562,10244,3123,4083,0.3049,20872.0,126430.0,6.057
arrests_43C_adult18,2020,robbery,39237,19512,34456,8838,8296,0.2565,67903.0,243600.0,3.587
arrests_43C_adult18,2020,assault,251255,157066,221675,59345,79230,0.2677,381189.0,921505.0,2.417
arrests_43C_adult18,2020,burglary,93176,65873,81589,17491,40190,0.2144,149352.0,1035314.0,6.932
arrests_43C_adult18,2020,larceny,403371,277362,342060,50620,184584,0.1480,629024.0,4606324.0,7.323
arrests_43C_adult18,2020,mvt,49650,36605,44040,12763,19706,0.2898,83219.0,810400.0,9.738
arrests_43C_adult18,2020,arson,5954,4345,5115,1132,2601,0.2213,9775.0,,1.000
arrests_43C_adult18,2020,forgery,21965,15112,19344,3258,10051,0.1684,32499.0,,1.000
arrests_43C_adult18,2020,fraud,52177,34582,45061,6589,23277,0.1462,79518.0,,1.000
arrests_43C_adult18,2020,embezzle,6196,3806,5316,795,2470,0.1495,9393.0,,1.000
arrests_43C_adult18,2020,stolen_prop,55372,36442,47907,9886,21643,0.2064,88316.0,,1.000
arrests_43C_adult18,2020,vandalism,103640,70072,89355,18238,42176,0.2041,173774.0,,1.000
arrests_43C_adult18,2020,violent_index,310636,188858,273101,72785,93253,0.2665,,,1.000
arrests_43C_adult18,2020,property_index,552151,384185,472804,82006,246970,0.1734,,,1.000
arrests_43C_adult18,2020,simple_assault,575999,378263,490976,97665,224763,0.1989,906980.0,,1.000
arrests_43C_adult18,2020,weapons,106965,56048,87713,21266,24694,0.2424,166197.0,,1.000
arrests_43C_adult18,2020,drug,762708,551665,686080,148659,347581,0.2167,1155610.0,,1.000
arrests_43C_adult18,2020,dui,513143,414243,432111,122407,226422,0.2833,778906.0,,1.000
arrests_43C_adult18,2020,ALL_OFFENCES,4922365,3463146,4236002,870769,2109484,0.2056,7632473.0,,
arrests_43C_adult18,2023,murder,9100,3713,7830,1698,1497,0.2169,11674.0,19252.0,1.649
arrests_43C_adult18,2023,sexual,13543,9032,11799,3644,4225,0.3088,18886.0,127216.0,6.736
arrests_43C_adult18,2023,robbery,45000,18532,42347,11269,6170,0.2661,67243.0,222795.0,3.313
arrests_43C_adult18,2023,assault,270568,152736,244564,65113,72944,0.2662,345987.0,884550.0,2.557
