iso,country,prisoners_mean2024,pop_mean_2024_2025,prisoners_per_100k,ratio_vs_avg_foreigner,ratio_vs_spaniard,share_of_foreign_prisoners_pct,share_of_total_prisoners_pct
DZ,Algeria,974,82175,1185.3,5.74,14.43,7.03,2.01
NG,Nigeria,194,32630,594.5,2.88,7.24,1.4,0.4
DO,Dominican Republic,386,65286,591.2,2.86,7.2,2.79,0.8
MA,Morocco,3792,944846,401.3,1.94,4.89,27.38,7.82
EC,Ecuador,440,128561,342.2,1.66,4.17,3.18,0.91
SN,Senegal,309,95320,324.2,1.57,3.95,2.23,0.64
BR,Brazil,262,103884,252.2,1.22,3.07,1.89,0.54
BO,Bolivia,174,69239,251.3,1.22,3.06,1.26,0.36
CO,Colombia,1480,627506,235.9,1.14,2.87,10.69,3.05
PT,Portugal,228,108386,210.4,1.02,2.56,1.65,0.47
RO,Romania,1136,614866,184.8,0.89,2.25,8.2,2.34
BG,Bulgaria,200,111219,179.8,0.87,2.19,1.44,0.41
PE,Peru,346,240094,144.1,0.7,1.75,2.5,0.71
VE,Venezuela,227,351532,64.6,0.31,0.79,1.64,0.47
IT,Italy,211,335568,62.9,0.3,0.77,1.52,0.44
