country_es,chart_pct,pop_by_nationality,pct_by_nationality,pop_by_country_of_birth,pct_by_country_of_birth
Marruecos,1.83,968999.0,1.97,1165955.0,2.37
Rumanía,1.31,609270.0,1.24,521181.0,1.06
Colombia,0.66,676534.0,1.38,978041.0,1.99
Reino Unido,0.61,266462.0,0.54,281584.0,0.57
Italia,0.56,345777.0,0.7,164380.0,0.33
China,0.47,238372.0,0.49,209320.0,0.43
Venezuela,0.44,377809.0,0.77,692316.0,1.41
Honduras,0.28,177929.0,0.36,220593.0,0.45
Perú,0.25,260544.0,0.53,430277.0,0.88
Ecuador,0.25,132372.0,0.27,468751.0,0.95
Alemania,0.24,131830.0,0.27,180264.0,0.37
Francia,0.24,127015.0,0.26,219791.0,0.45
Bulgaria,0.24,109604.0,0.22,101578.0,0.21
Ucrania,0.23,202105.0,0.41,209592.0,0.43
Pakistán,0.21,116641.0,0.24,135696.0,0.28
Portugal,0.21,109930.0,0.22,96773.0,0.2
Argentina,0.2,148585.0,0.3,450883.0,0.92
Brasil,0.19,105990.0,0.22,189712.0,0.39
Paraguay,0.18,122635.0,0.25,162633.0,0.33
Senegal,0.18,101432.0,0.21,109523.0,0.22
