country_es,prisoners_mean2024_AGE,padron_1jan2022,per100k,x_vs_avg_foreigner,chart_measured
Marruecos,3792,883243,429.3,1.72,2.27
Colombia,1480,314679,470.3,1.88,1.19
Rumanía,1136,627478,181.0,0.72,1.01
Argelia,974,63964,1522.7,6.09,6.81
Ecuador,440,119885,367.0,1.47,1.58
República Dominicana,386,69399,556.2,2.23,3.39
Perú,346,120255,287.7,1.15,1.01
Senegal,309,83260,371.1,1.49,1.66
Albania,286,5022,5694.9,22.79,24.9
Brasil,262,91045,287.8,1.15,1.3
