price_set,offence,victimisations_2024,hispanic_arrest_share,group_offences,outside_offences,unit_victim_cost,cost
miller2021,Burglary,1103790.0000,0.2032,134018.3719,91457.6882,2129.4815,194757451.5857
miller2021,Motor vehicle theft,841120.0000,0.2530,127155.7505,86774.4535,8082.8155,701381893.6075
miller2021,Larceny/theft,10618790.0000,0.1416,898174.2386,612937.9002,614.2735,376511508.4459
mccollister2010,Burglary,1103790.0000,0.2032,134018.3719,91457.6882,1942.1347,177623153.9435
mccollister2010,Motor vehicle theft,841120.0000,0.2530,127155.7505,86774.4535,8872.9187,769942669.0442
mccollister2010,Larceny/theft,10618790.0000,0.1416,898174.2386,612937.9002,699.3433,428654040.8180
