group,age_0_11,age_12_17,age_18_plus,age_12_plus,all_ages
union,7690316.8,4433206.7,28773050.6,33206257.4,40896574.2
mexico_born,300500.2,245482.7,11674798.9,11920281.7,12220781.9
mexican_second_gen,3113703.3,2304631.5,8914882.9,11219514.4,14333217.7
mexican_third_plus_selfid,4276113.3,1883092.5,8183368.7,10066461.3,14342574.6
cps_hispanic_civilian,12824270.4,6893834.2,48679555.5,55573389.7,68397660.1
cps_all_civilian,46873331.0,26104571.5,263749900.5,289854472.0,336727803.0
union_hispanic,7605476.4,4381167.1,28332979.5,32714146.6,40319623.0
union_not_hispanic,84840.4,52039.7,440071.1,492110.8,576951.1
