offence,mccollister_total_2024,risk_of_homicide_2024,cjs_and_career_2024
Murder,13087783.79,0.00,788082.73
Rape/sexual assault,350802.28,2083.46,52000.55
Robbery,61644.20,25641.13,26369.61
Aggravated assault,155924.43,118870.88,15687.15
