group,homicide_offending_ratio_2024,ncvs_nonfatal_offending_ratio_2022_2024,bjs_imprisonment_ratio_2023,bjs_imprisonment_ratio_2019
hispanic,2.7379,0.9368,2.6234,2.9011
nh_black,12.1099,2.4744,5.2727,5.4601
