offence,hispanic_offender_incidents_2024,group_incidents,group_victimisations,outside_victims,cost_tangible,cost_full,unit_tangible,unit_full,share_of_full
Rape/sexual assault,71699.0148,42841.6541,46258.6618,33028.9184,330063581.4027,6950684916.8486,9993.1695,210442.4016,0.2403
Robbery,104374.1872,62365.7499,67219.6270,41294.6486,331451788.0551,920423436.3131,8026.5070,22289.1698,0.0318
Aggravated assault,186821.3796,111629.6640,120454.8728,84109.8002,556388930.0905,6871550420.5250,6615.0309,81697.3813,0.2376
Simple assault,549987.8797,328629.2090,354753.3801,243301.9278,860736162.6823,5025018822.4459,3537.7285,20653.4279,0.1737
Murder,3851.9860,2301.6418,2301.6418,1021.3576,2422711723.3594,9155207578.4941,2372050.3884,8963762.9944,0.3165
Total,916734.4472,547767.9189,590988.1835,402756.6527,4501352185.5900,28922885174.6268,,,1.0000
