vic_eth,off_eth,victims,window
hispanic,hispanic,1085,2024
nh_white,hispanic,204,2024
nh_black,hispanic,160,2024
nh_other,hispanic,21,2024
unknown,hispanic,149,2024
hispanic,nh_white,155,2024
nh_white,nh_white,1368,2024
nh_black,nh_white,145,2024
nh_other,nh_white,33,2024
unknown,nh_white,234,2024
hispanic,nh_black,252,2024
nh_white,nh_black,393,2024
nh_black,nh_black,2958,2024
nh_other,nh_black,38,2024
unknown,nh_black,408,2024
hispanic,nh_other,17,2024
nh_white,nh_other,35,2024
nh_black,nh_other,16,2024
nh_other,nh_other,101,2024
unknown,nh_other,21,2024
hispanic,unknown,325,2024
nh_white,unknown,543,2024
nh_black,unknown,855,2024
nh_other,unknown,41,2024
unknown,unknown,2248,2024
hispanic,unsolved,542,2024
nh_white,unsolved,347,2024
nh_black,unsolved,1969,2024
nh_other,unsolved,50,2024
unknown,unsolved,1149,2024
hispanic,hispanic,3481,2022_2024
nh_white,hispanic,672,2022_2024
nh_black,hispanic,569,2022_2024
nh_other,hispanic,95,2022_2024
unknown,hispanic,452,2022_2024
hispanic,nh_white,511,2022_2024
nh_white,nh_white,4323,2022_2024
nh_black,nh_white,511,2022_2024
nh_other,nh_white,97,2022_2024
unknown,nh_white,675,2022_2024
hispanic,nh_black,902,2022_2024
nh_white,nh_black,1282,2022_2024
nh_black,nh_black,9734,2022_2024
nh_other,nh_black,135,2022_2024
unknown,nh_black,1223,2022_2024
hispanic,nh_other,63,2022_2024
nh_white,nh_other,103,2022_2024
nh_black,nh_other,67,2022_2024
nh_other,nh_other,391,2022_2024
unknown,nh_other,79,2022_2024
hispanic,unknown,966,2022_2024
nh_white,unknown,1804,2022_2024
nh_black,unknown,2657,2022_2024
nh_other,unknown,147,2022_2024
unknown,unknown,6530,2022_2024
hispanic,unsolved,2252,2022_2024
nh_white,unsolved,1242,2022_2024
nh_black,unsolved,7657,2022_2024
nh_other,unsolved,226,2022_2024
unknown,unsolved,4074,2022_2024
hispanic,hispanic,6342,2019_2024
nh_white,hispanic,1341,2019_2024
nh_black,hispanic,985,2019_2024
nh_other,hispanic,154,2019_2024
unknown,hispanic,843,2019_2024
hispanic,nh_white,934,2019_2024
nh_white,nh_white,8585,2019_2024
nh_black,nh_white,1035,2019_2024
nh_other,nh_white,205,2019_2024
unknown,nh_white,1163,2019_2024
hispanic,nh_black,1643,2019_2024
nh_white,nh_black,2629,2019_2024
nh_black,nh_black,19105,2019_2024
nh_other,nh_black,264,2019_2024
unknown,nh_black,2063,2019_2024
hispanic,nh_other,106,2019_2024
nh_white,nh_other,203,2019_2024
nh_black,nh_other,125,2019_2024
nh_other,nh_other,774,2019_2024
unknown,nh_other,122,2019_2024
hispanic,unknown,1878,2019_2024
nh_white,unknown,3762,2019_2024
nh_black,unknown,5038,2019_2024
nh_other,unknown,267,2019_2024
unknown,unknown,14565,2019_2024
hispanic,unsolved,5725,2019_2024
nh_white,unsolved,2992,2019_2024
nh_black,unsolved,17650,2019_2024
nh_other,unsolved,521,2019_2024
unknown,unsolved,8772,2019_2024
