cbsa,period,num0,num1,wsum,fb0,fb1,h0,pop0,pop1,hc0,hn0,hn1,dlog,imm_pc,hisp_pc,_w,period_fe
37620,A,2.99612e+09,3.38471e+09,28018,682,918,0.00823531,92575,91353,28,777,1012,0.121952,0.00254928,0.00253848,92575,A
37620,B,3.36099e+09,4.12535e+09,27733,918,868,0.0106682,91353,88960,28,1012,1188,0.204915,-0.000547327,0.00192658,91353,B
37860,A,1.68512e+10,1.81508e+10,113815,23284,23210,0.0452057,449424,476583,95,21049,25198,0.0742933,-0.000164655,0.00923181,449424,A
37860,B,1.92464e+10,3.1956e+10,118863,23210,27293,0.0508471,476583,512001,95,25198,32646,0.507034,0.00856724,0.0156279,476583,B
37900,A,1.48891e+10,1.54571e+10,108867,12280,13630,0.035399,377764,371968,93,11188,12792,0.0374422,0.00357366,0.00424603,377764,A
37900,B,1.54232e+10,1.82745e+10,107214,13559,15011,0.0378836,370371,363027,92,12625,14871,0.169632,0.00392039,0.0060642,370371,B
37980,A,3.9742e+11,4.09968e+11,1.51561e+06,577184,643666,0.0776101,5911376,5988299,1436,478551,551124,0.0310856,0.0112465,0.0122768,5911376,A
37980,B,4.12943e+11,5.47611e+11,1.5118e+06,642753,707295,0.088636,5969044,6139200,1429,548089,640263,0.282257,0.0108128,0.015442,5969044,B
38060,A,1.69407e+11,2.1689e+11,843484,552339,600254,0.300251,3735555,4066754,850,1.14036e+06,1.28924e+06,0.247082,0.0128267,0.0398554,3735555,A
38060,B,2.46906e+11,4.12275e+11,938724,609281,618573,0.30089,4236109,4475488,877,1.3047e+06,1.37732e+06,0.512682,0.00219352,0.0171433,4236109,B
38220,A,1.93586e+09,2.07614e+09,23792,1322,1492,0.0163423,96862,90667,29,1745,2013,0.0699559,0.00175507,0.00276683,96862,A
38220,B,1.92745e+09,2.45491e+09,22160,1492,1564,0.0186188,90667,84675,29,2013,2214,0.241892,0.000794115,0.00221691,90667,B
38300,A,9.69082e+10,1.12009e+11,694101,77836,87611,0.0143329,2343969,2324519,691,31780,39186,0.144813,0.00417028,0.0031596,2343969,A
38300,B,1.13621e+11,1.58023e+11,696266,86627,98594,0.0175366,2303478,2336704,674,38468,53434,0.329873,0.00519519,0.00649713,2303478,B
38340,A,8.60965e+09,8.74092e+09,37818,6361,8206,0.0304279,130545,127328,39,4712,5839,0.0151321,0.0141331,0.00863307,130545,A
38340,B,8.79964e+09,1.18137e+10,37853,7956,7324,0.0394028,124457,124761,38,5576,6542.01,0.294548,-0.00507806,0.00776174,124457,B
38540,A,3.07828e+09,3.30033e+09,20764,2542,3485,0.0748055,82417,84737,21,5818,7156.01,0.0696507,0.0114418,0.0162345,82417,A
38540,B,3.36285e+09,5.96436e+09,20970,3485,2783,0.0855838,84737,88074,21,7156.01,8481,0.573013,-0.00828446,0.0156365,84737,B
38860,A,3.71402e+10,4.01757e+10,150771,23389,25927,0.0169715,516460,529323,114,8405,9914,0.0785604,0.00491422,0.00292182,516460,A
38860,B,4.18453e+10,6.37781e+10,157131,25927,29104,0.0196076,529323,557764,114,9914,13495,0.421429,0.00600201,0.00676524,529323,B
38900,A,1.53277e+11,1.94278e+11,530334,275616,299165,0.104423,2237037,2392437,483,245710,281296,0.237039,0.0105269,0.0159076,2237037,A
38900,B,2.08094e+11,3.18339e+11,569878,300104,309774,0.113594,2396411,2488990,484,282513,336444,0.425128,0.0040352,0.0225049,2396411,B
38940,A,1.97137e+10,2.49853e+10,122949,56106,66438,0.131021,428069,462172,76,65635,77645,0.236974,0.0241363,0.0280562,428069,A
38940,B,2.73137e+10,4.58859e+10,131788,66147,78398,0.149133,459808,502855,75,77509,96342,0.51877,0.0266437,0.0409583,459808,B
39140,A,1.31251e+10,1.59414e+10,63903,14500,14056,0.13357,211968,224645,42,29107,32461,0.19439,-0.00209466,0.0158232,211968,A
39140,B,1.71286e+10,2.90735e+10,68931,13991,15449,0.138096,222452,238614,41,31691,34594,0.529074,0.00655422,0.01305,222452,B
39300,A,1.05635e+11,1.09379e+11,382960,201986,214782,0.110688,1593624,1606398,361,168971,200699,0.0348303,0.0080295,0.0199093,1593624,A
39300,B,1.09891e+11,1.59472e+11,382469,213497,238000,0.128053,1603691,1661901,360,198444,241209,0.372382,0.0152791,0.0266666,1603691,B
39340,A,2.15239e+10,2.67505e+10,92338,35300,39774,0.110496,486192,541315,119,54313,64519,0.217389,0.00920213,0.0209917,486192,A
39340,B,3.16057e+10,5.48921e+10,107161,41171,51590,0.118197,565348,654377,122,66016,91609,0.552031,0.0184294,0.0452694,565348,B
39380,A,5.4815e+09,6.00116e+09,39117,6111,5512,0.434274,151533,154643,51,65231,68104,0.0905735,-0.00395293,0.0189596,151533,A
39380,B,6.01536e+09,1.06192e+10,38664,5512,5942,0.437326,154643,156048,51,68104,67396,0.568348,0.0027806,-0.00457844,154643,B
39460,A,8.79425e+09,1.07098e+10,54927,15621,18084,0.0597548,159299,174281,37,9819.01,12404,0.197061,0.0154615,0.0162273,159299,A
39460,B,1.15191e+10,1.88755e+10,58583,17925,18803,0.0689479,172404,192418,36,12377,15031,0.493857,0.00509269,0.015394,172404,B
39540,A,9.25161e+09,9.14356e+09,52208,9663,9195,0.117716,194370,194496,43,22999,25043,-0.011747,-0.00240778,0.010516,194370,A
39540,B,9.19465e+09,1.32098e+10,51741,9162,9623,0.13018,193463,195882,42,24866,28732,0.362335,0.00238288,0.0199831,193463,B
39580,A,6.26594e+10,7.06392e+10,278352,126442,147171,0.0980493,1114041,1249576,211,115906,134641,0.119871,0.018607,0.0168171,1114041,A
39580,B,8.06212e+10,1.26603e+11,312523,151950,184795,0.100831,1280432,1428364,217,135193,173620,0.451292,0.0256515,0.0300109,1280432,B
39660,A,6.25978e+09,7.27205e+09,36869,2476,3338,0.0429766,135169,143080,28,5346,6402,0.149893,0.0063772,0.00781242,135169,A
39660,B,8.12298e+09,1.20118e+10,41279,3338,3021,0.0464284,143080,145717,28,6402,6779,0.391191,-0.00221554,0.0026349,143080,B
39740,A,1.93303e+10,1.99199e+10,110864,28136,31086,0.216819,412078,416642,90,70021,84748,0.0300458,0.00715884,0.0357384,412078,A
39740,B,2.02037e+10,2.74744e+10,110462,30158,37011,0.252561,413196,427029,89,82107,100879,0.30739,0.0165853,0.0454312,413196,B
39820,A,9.95026e+09,1.10406e+10,44252,9188,9763,0.0836665,177966,179085,48,15419,17605,0.103984,0.00323095,0.0122832,177966,A
39820,B,1.11237e+10,1.58135e+10,44721,9763,8824,0.0947888,179085,181554,48,17605,20604,0.351786,-0.00524332,0.0167463,179085,B
39900,A,2.08647e+10,2.84796e+10,88933,59329,58340,0.216431,400406,418762,101,89780,100667,0.311131,-0.00246999,0.0271899,400406,A
39900,B,3.33487e+10,5.72699e+10,100674,55955,63795,0.221486,420667,459879,99,96300,112781,0.540756,0.0186371,0.0391783,420667,B
40060,A,7.26532e+10,7.59316e+10,307139,84155,95374,0.0530849,1190676,1249457,283,61723,74134,0.0441357,0.00942238,0.0104235,1190676,A
40060,B,7.9295e+10,1.11142e+11,316534,97464,116480,0.0605322,1259222,1332765,284,75810,108196,0.337634,0.0151014,0.0257191,1259222,B
40140,A,1.88649e+11,2.59104e+11,788404,870134,913023,0.472648,4056644,4269212,778,1.96901e+06,2.18685e+06,0.31734,0.0105725,0.0536993,4056644,A
40140,B,2.71886e+11,4.16932e+11,818495,930883,961847,0.502068,4348109,4465824,788,2.2157e+06,2.36211e+06,0.427538,0.00712126,0.0336721,4348109,B
40220,A,1.68965e+10,1.73269e+10,90285,14582,15133,0.0334021,309599,313291,65,10080,11759,0.0251577,0.00177972,0.00542315,309599,A
40220,B,1.69013e+10,2.22715e+10,87991,15060,16320,0.0372526,311926,312780,64,11692,16022,0.275919,0.00403942,0.0138815,311926,B
40340,A,1.14828e+10,1.29587e+10,63122,15061,17932,0.0380111,208641,216035,50,8091,9368,0.120912,0.0137605,0.00612054,208641,A
40340,B,1.34595e+10,1.96861e+10,64875,17932,20023,0.0451381,216035,227252,50,9368,11639,0.380231,0.00967899,0.0105122,216035,B
40380,A,3.98975e+10,4.28774e+10,291456,70127,73253,0.0775041,1068682,1062288,261,65129,74632,0.0720314,0.0029251,0.00889227,1068682,A
40380,B,4.28814e+10,5.81726e+10,287680,71992,68383,0.0832673,1046060,1066332,253,70598,85812,0.304974,-0.00345009,0.0145441,1046060,B
40420,A,1.21608e+10,1.13112e+10,90635,28364,29424,0.136887,345168,337643,81,43709,46956,-0.0724243,0.00307097,0.00940696,345168,A
40420,B,1.14175e+10,1.52813e+10,90292,29478,30027,0.150033,338782,335334,82,47071,55579,0.291482,0.00162051,0.0251135,338782,B
40580,A,4.05946e+09,4.30578e+09,37415,5694,5147,0.0547029,151620,147335,32,8251,8766,0.0589081,-0.0036077,0.00339665,151620,A
40580,B,4.29914e+09,5.77654e+09,36801,5147,5356,0.059562,147335,144228,32,8766,10416,0.295391,0.00141854,0.011199,147335,B
40660,A,2.56488e+09,2.96365e+09,22252,6222,6650,0.100721,96147,96824,20,9228,10422,0.144512,0.00445152,0.0124184,96147,A
40660,B,2.83901e+09,4.32317e+09,21469,6650,6594,0.104975,96824,98985,20,10422,11878,0.420533,-0.000578369,0.0150377,96824,B
40900,A,1.26808e+11,1.66984e+11,439176,349758,385382,0.200256,2007953,2112860,440,415892,459473,0.275227,0.0177415,0.0217042,2007953,A
40900,B,1.77154e+11,2.65414e+11,459704,389047,420235,0.209252,2133927,2242553,443,460778,509436,0.404272,0.0146153,0.0228021,2133927,B
40980,A,5.80786e+09,5.94052e+09,56299,4593,4770,0.0846334,198841,192778,56,15665,16151,0.0225834,0.000890158,0.00244422,198841,A
40980,B,5.98251e+09,8.30161e+09,56288,4770,4416,0.0906729,192778,189210,56,16151,17188,0.32761,-0.00183631,0.00537919,192778,B
41060,A,8.75632e+09,9.31437e+09,51533,6593,11864,0.0265005,186020,193153,37,4937,5812,0.0617819,0.0283357,0.00470381,186020,A
41060,B,9.34082e+09,1.35216e+10,51423,11864,12651,0.0302798,193153,198303,37,5812,8402,0.369892,0.00407449,0.013409,193153,B
41100,A,7.09758e+09,8.49885e+09,32349,8425,8694,0.0982255,141902,160537,21,13887,16435,0.180177,0.00189567,0.017956,141902,A
41100,B,1.00921e+10,1.79108e+10,38125,8694,11161,0.108402,160537,189827,21,16435,22296,0.573652,0.0153672,0.0365087,160537,B
41140,A,3.69551e+09,3.97837e+09,31514,3482,3819,0.0481929,127516,126779,34,5663,6711,0.0737545,0.00264281,0.00821857,127516,A
41140,B,4.0051e+09,5.3655e+09,31362,3819,3694,0.052859,126779,120609,34,6711,6848,0.292423,-0.000985968,0.00108064,126779,B
41180,A,1.3364e+11,1.42031e+11,767884,122562,130041,0.0263962,2748462,2753011,600,73373,82027,0.0608943,0.00272116,0.00314867,2748462,A
41180,B,1.44973e+11,1.95345e+11,764103,130666,139530,0.0304498,2764540,2774152,595,83007,106447,0.298219,0.00320632,0.0084788,2764540,B
41420,A,1.81041e+10,2.03906e+10,86722,49244,48893,0.209985,394371,416980,70,87858,99408,0.118935,-0.000890025,0.0292871,394371,A
41420,B,2.10079e+10,3.58342e+10,88910,48893,52109,0.224611,416980,435085,70,99408,111592,0.534003,0.0077126,0.0292197,416980,B
41500,A,2.6593e+10,3.41208e+10,61237,120915,124807,0.52418,394826,405407,83,225952,242726,0.249259,0.00985751,0.0424845,394826,A
41500,B,3.42626e+10,5.15845e+10,62065,122474,116966,0.537061,402036,404078,83,238467,250377,0.409166,-0.0137003,0.0296242,402036,B
41540,A,2.487e+10,2.53869e+10,105076,25133,27689,0.0577744,372139,393614,92,24665,27664,0.0205688,0.0068684,0.00805877,372139,A
41540,B,2.85724e+10,3.96569e+10,115092,27689,33695,0.0646165,393614,428613,92,27664,38103,0.327825,0.0152586,0.0265209,393614,B
41620,A,5.94603e+10,7.10911e+10,239096,126737,142649,0.166178,1075751,1147937,215,183615,205761,0.178654,0.0147915,0.0205865,1075751,A
41620,B,7.87892e+10,1.34994e+11,259742,142084,153397,0.172141,1168233,1243384,217,206541,243733,0.538453,0.00968386,0.0318362,1168233,B
41660,A,3.06678e+09,3.87742e+09,27652,7705,7653,0.371831,110424,116208,24,40532,46221,0.234544,-0.000470912,0.0515197,110424,A
41660,B,3.91296e+09,5.38926e+09,27460,7653,7186,0.400398,116208,119046,24,46221,48020,0.320114,-0.00401866,0.0154808,116208,B
41700,A,7.14683e+10,8.41552e+10,470864,251472,279838,0.556734,2127288,2357595,437,1.16936e+06,1.31792e+06,0.163408,0.0133343,0.0698373,2127288,A
41700,B,9.09959e+10,1.3834e+11,496655,281488,301441,0.568341,2377193,2563632,439,1.32366e+06,1.40698e+06,0.418904,0.00839351,0.0350481,2377193,B
41740,A,2.30061e+11,2.93977e+11,537718,697620,735105,0.335957,2897710,3057074,575,977645,1.06309e+06,0.245159,0.0129361,0.0294871,2897710,A
41740,B,3.13164e+11,4.71168e+11,555417,720938,684795,0.34119,3043061,3020318,570,1.03442e+06,1.05118e+06,0.408487,-0.0118772,0.00550891,3043061,B
41860,A,4.28349e+11,5.95659e+11,766519,1175823,1272994,0.223095,3866670,4095238,832,909201,962969,0.32973,0.0251304,0.0139055,3866670,A
41860,B,5.95207e+11,8.7616e+11,780272,1270188,1303417,0.222872,4055517,4054578,825,951137,996673,0.38664,0.00819353,0.0112282,4055517,B
41940,A,1.65626e+11,2.46246e+11,287976,584312,645831,0.312745,1570023,1673916,317,493547,505367,0.396596,0.0391835,0.00752854,1570023,A
41940,B,2.19835e+11,3.38173e+11,274406,584998,609575,0.319689,1539792,1524809,288,487860,473272,0.430681,0.0159612,-0.00947401,1539792,B
42020,A,2.70725e+10,3.32579e+10,59621,26964,28353,0.208268,258200,267319,50,54746,60855,0.205772,0.00537955,0.02366,258200,A
42020,B,3.48781e+10,4.96844e+10,62888,28071,26190,0.220299,263967,268861,49,60420,65825,0.353832,-0.00712589,0.020476,263967,B
42100,A,3.09679e+10,3.99419e+10,55007,48363,48965,0.286849,264808,273765,52,85703,91676,0.254476,0.00227335,0.0225559,264808,A
42100,B,4.09123e+10,5.72519e+10,56131,48723,47143,0.30579,270617,266021,51,91493,93116,0.336031,-0.00583851,0.00599739,270617,B
42140,A,1.34639e+10,1.38535e+10,41855,18047,18016,0.472354,140878,145191,47,70388,73919,0.0285212,-0.000220049,0.0250643,140878,A
42140,B,1.43768e+10,2.08906e+10,43124,18016,17893,0.476891,145191,151246,47,73919,71657,0.373682,-0.00084716,-0.0155796,145191,B
42200,A,3.1376e+10,3.80198e+10,64965,92724,94119,0.440002,371936,386818,73,174863,189854,0.192061,0.00375065,0.0403053,371936,A
42200,B,3.91229e+10,5.56216e+10,66366,94779,92210,0.454599,392672,393805,75,190648,200922,0.351864,-0.00654236,0.0261644,392672,B
42220,A,4.70104e+10,6.30931e+10,108170,79174,81205,0.236384,475184,489117,96,120898,130762,0.294242,0.00427413,0.0207583,475184,A
42220,B,6.58788e+10,9.26804e+10,112392,81585,79775,0.248067,491685,476583,97,131325,141587,0.34134,-0.00368122,0.0208711,491685,B
42340,A,1.56735e+10,1.64497e+10,79705,18512,19744,0.0439874,343899,368325,81,16686,20544,0.0483344,0.00358245,0.0112184,343899,A
